record_id,customer_id,customer_name,invoice_no,invoice_amount,invoice_date,due_date,payment_date,balance,credit_limit,writeoff_amount,type,ref_invoice_no,shipment_id
R0035,C003,Customer 003 Trading,INV-2035,319.46,2025-10-14,2025-11-13,2025-10-29,319.46,50000.0,0.0,sale,,
R0036,C023,Customer 023 LLC,INV-2036,367.31,2025-09-03,2025-10-03,2025-09-18,367.31,25000.0,0.0,sale,,SHIP-3036
R0037,C017,Customer 017 Trading,INV-2037,1845.58,2025-08-25,2025-09-24,,1845.58,10000.0,0.0,sale,,SHIP-3037
R0038,C025,Customer 025 LLC,INV-2038,7053.15,2025-11-22,2025-12-22,2025-12-07,-7053.15,10000.0,0.0,refund,INV-2037,SHIP-3038
R0039,C009,Customer 009 Trading,INV-2039,6522.12,2025-09-22,2025-10-22,2025-10-07,53825.0,50000.0,0.0,sale,,SHIP-3039
R0040,C025,Customer 025 LLC,INV-2040,5746.98,2025-11-21,2025-12-21,2025-12-06,5746.98,25000.0,0.0,sale,,
R0041,C026,Customer 026 Trading,INV-2041,280053.61,2025-09-25,2025-10-25,2025-09-20,280053.61,25000.0,0.0,sale,,SHIP-3041
R0042,C024,Customer 024 LLC,INV-2042,64809.88,2025-09-26,2025-10-26,,64809.88,100000.0,0.0,sale,,SHIP-3042
R0043,C001,Customer 001 Trading,INV-2043,290812.15,2025-10-06,2025-11-05,,290812.15,100000.0,0.0,sale,,SHIP-3043
R0044,C023,Customer 023 LLC,INV-2044,13121.59,2025-10-15,2025-11-14,2025-10-30,13121.59,100000.0,0.0,sale,,SHIP-3044
R0045,C024,Customer 024 Trading,INV-2045,287166.12,2025-10-17,2025-11-16,,287166.12,10000.0,0.0,sale,,
R0046,C008,Customer 008 LLC,INV-2046,4418.55,2025-10-14,2025-11-13,2025-10-29,4418.55,25000.0,2620.47,writeoff,,SHIP-3046
R0047,C020,Customer 020 Trading,INV-2047,87402.6,2025-11-01,2025-12-01,2025-11-16,87402.6,50000.0,0.0,sale,,SHIP-3047
R0048,C003,Customer 003 LLC,INV-2048,83420.12,2025-09-16,2025-10-16,2025-10-01,83420.12,100000.0,0.0,sale,,SHIP-3048
R0049,C025,Customer 025 Trading,INV-2049,498.45,2025-09-23,2025-10-23,2025-10-08,498.45,100000.0,0.0,sale,,SHIP-3049
R0050,C011,Customer 011 LLC,INV-2050,201.2,2025-10-21,2025-11-20,2025-11-05,201.2,100000.0,0.0,sale,,
R0051,C003,Customer 003 Trading,INV-2051,34418.77,2025-09-22,2025-10-22,,34418.77,25000.0,0.0,sale,,SHIP-3051
R0052,C019,Customer 019 LLC,INV-2052,146886.65,2025-11-23,2025-12-23,2025-12-08,32010.0,25000.0,0.0,sale,,SHIP-3052
R0053,C016,Customer 016 Trading,INV-2053,19972.8,2025-10-15,2025-11-14,2025-10-30,19972.8,25000.0,0.0,sale,,SHIP-3053
R0054,C005,Customer 005 LLC,INV-2054,118.82,2025-11-23,2025-12-23,2025-12-08,118.82,10000.0,0.0,sale,,SHIP-3054
R0055,C005,Customer 005 Trading,INV-2055,3298.63,2025-09-25,2025-10-25,,3298.63,25000.0,0.0,sale,,
R0056,C007,Customer 007 LLC,INV-2056,1060.19,2025-10-01,2025-10-31,,1060.19,50000.0,0.0,sale,,SHIP-3056
R0057,C014,Customer 014 Trading,INV-2057,83115.59,2025-09-08,2025-10-08,2025-09-23,-83115.59,50000.0,0.0,refund,INV-2056,SHIP-3057
R0058,C022,Customer 022 LLC,INV-2058,11008.31,2025-11-06,2025-12-06,2025-11-21,11008.31,100000.0,0.0,sale,,SHIP-3058
R0059,C017,Customer 017 Trading,INV-2059,286.86,2025-09-20,2025-10-20,2025-10-05,286.86,10000.0,0.0,sale,,SHIP-3059
R0060,C025,Customer 025 LLC,INV-2060,437.4,2025-09-01,2025-10-01,,437.4,25000.0,0.0,sale,,
R0061,C016,Customer 016 Trading,INV-2061,14684.34,2025-09-16,2025-10-16,,14684.34,10000.0,0.0,sale,,SHIP-3061
R0062,C017,Customer 017 LLC,INV-2062,7203.48,2025-11-01,2025-12-01,2025-11-16,7203.48,10000.0,0.0,sale,,SHIP-3062
R0063,C002,Customer 002 Trading,INV-2063,740.85,2025-10-06,2025-11-05,2025-10-21,740.85,10000.0,0.0,sale,,SHIP-3063
R0064,C017,Customer 017 LLC,INV-2064,3824.86,2025-09-04,2025-10-04,2025-09-19,3824.86,10000.0,0.0,sale,,SHIP-3064
R0065,C020,Customer 020 Trading,INV-2065,255129.62,2025-11-17,2025-12-17,,32674.0,25000.0,0.0,sale,,
R0066,C017,Customer 017 LLC,INV-2066,7353.58,2025-11-01,2025-12-01,2025-11-16,7353.58,25000.0,0.0,sale,,SHIP-3066
R0067,C009,Customer 009 Trading,INV-2067,169724.58,2025-09-26,2025-10-26,,169724.58,100000.0,0.0,sale,,SHIP-3067
R0068,C004,Customer 004 LLC,INV-2068,2361.98,2025-10-11,2025-11-10,2025-10-26,2361.98,10000.0,0.0,sale,,SHIP-3068
R0069,C014,Customer 014 Trading,INV-2069,180.27,2025-11-25,2025-12-25,2025-12-10,180.27,50000.0,128.64,writeoff,,SHIP-3069
R0070,C005,Customer 005 LLC,INV-2070,194207.64,2025-11-22,2025-12-22,,194207.64,50000.0,0.0,sale,,
R0071,C005,Customer 005 Trading,INV-2071,243448.3,2025-09-29,2025-10-29,,243448.3,10000.0,0.0,sale,,SHIP-3071
R0072,C016,Customer 016 LLC,INV-2072,371.35,2025-11-25,2025-12-25,,371.35,25000.0,0.0,sale,,SHIP-3072
R0073,C014,Customer 014 Trading,INV-2073,301476.97,2025-10-22,2025-11-21,2025-11-06,301476.97,50000.0,0.0,sale,,SHIP-3073
R0074,C012,Customer 012 LLC,INV-2074,1302.69,2025-07-14,2025-08-13,,1302.69,10000.0,0.0,sale,,SHIP-3074
R0075,C011,Customer 011 Trading,INV-2075,8693.12,2025-10-27,2025-11-26,,8693.12,10000.0,0.0,sale,,
R0076,C017,Customer 017 LLC,INV-2076,15266.69,2025-11-05,2025-12-05,,-15266.69,10000.0,0.0,refund,INV-2075,SHIP-3076
R0077,C026,Customer 026 Trading,INV-2077,630.87,2025-09-14,2025-10-14,,630.87,10000.0,0.0,sale,,SHIP-3077
R0078,C002,Customer 002 LLC,INV-2078,148130.81,2025-09-24,2025-10-24,2025-10-09,53061.0,50000.0,0.0,sale,,SHIP-3078
R0079,C028,Customer 028 Trading,INV-2079,154863.25,2025-10-04,2025-11-03,,154863.25,100000.0,0.0,sale,,SHIP-3079
R0080,C017,Customer 017 LLC,INV-2080,9933.04,2025-11-29,2025-12-29,,9933.04,50000.0,0.0,sale,,
R0081,C002,Customer 002 Trading,INV-2081,62886.36,2025-09-24,2025-10-24,2025-10-09,62886.36,100000.0,0.0,sale,,SHIP-3081
R0082,C009,Customer 009 LLC,INV-2082,192408.38,2025-11-21,2025-12-21,2025-11-16,192408.38,10000.0,0.0,sale,,SHIP-3082
R0083,C003,Customer 003 Trading,INV-2083,13446.86,2025-09-29,2025-10-29,,13446.86,10000.0,0.0,sale,,SHIP-3083
R0084,C004,Customer 004 LLC,INV-2084,3874.43,2025-10-14,2025-11-13,2025-10-29,3874.43,100000.0,0.0,sale,,SHIP-3084
R0085,C009,Customer 009 Trading,INV-2085,14995.54,2025-09-06,2025-10-06,2025-09-21,14995.54,25000.0,0.0,sale,,
R0086,C006,Customer 006 LLC,INV-2086,825.34,2025-09-24,2025-10-24,2025-10-09,825.34,25000.0,0.0,sale,,SHIP-3086
R0087,C021,Customer 021 Trading,INV-2087,1168.2,2025-09-27,2025-10-27,2025-10-12,1168.2,50000.0,0.0,sale,,SHIP-3087
R0088,C022,Customer 022 LLC,INV-2088,419.42,2025-10-15,2025-11-14,2025-10-30,419.42,10000.0,0.0,sale,,SHIP-3088
R0089,C002,Customer 002 Trading,INV-2089,113.16,2025-11-04,2025-12-04,2025-11-19,113.16,25000.0,0.0,sale,,SHIP-3089
R0090,C008,Customer 008 LLC,INV-2090,186745.41,2025-09-14,2025-10-14,2025-09-29,186745.41,100000.0,0.0,sale,,
R0091,C018,Customer 018 Trading,INV-2091,83396.68,2025-10-21,2025-11-20,,57633.0,50000.0,0.0,sale,,SHIP-3091
R0092,C008,Customer 008 LLC,INV-2092,1582.95,2025-11-30,2025-12-30,,1582.95,25000.0,889.43,writeoff,,SHIP-3092
R0093,C002,Customer 002 Trading,INV-2093,85007.88,2025-09-02,2025-10-02,2025-09-17,85007.88,10000.0,0.0,sale,,SHIP-3093
R0094,C009,Customer 009 LLC,INV-2094,3218.05,2025-09-08,2025-10-08,2025-09-23,3218.05,10000.0,0.0,sale,,SHIP-3094
R0095,C013,Customer 013 Trading,INV-2095,111399.28,2025-11-25,2025-12-25,2025-12-10,-111399.28,50000.0,0.0,refund,INV-2094,
R0096,C023,Customer 023 LLC,INV-2096,1060.97,2025-10-29,2025-11-28,,1060.97,25000.0,0.0,sale,,SHIP-3096
R0097,C015,Customer 015 Trading,INV-2097,102.96,2025-10-17,2025-11-16,2025-11-01,102.96,50000.0,0.0,sale,,SHIP-3097
R0098,C018,Customer 018 LLC,INV-2098,1356.34,2025-09-05,2025-10-05,,1356.34,50000.0,0.0,sale,,SHIP-3098
R0099,C006,Customer 006 Trading,INV-2099,100.87,2025-10-19,2025-11-18,2025-11-03,100.87,10000.0,0.0,sale,,SHIP-3099
R0100,C017,Customer 017 LLC,INV-2100,19772.54,2025-10-02,2025-11-01,,19772.54,10000.0,0.0,sale,,
R0101,C027,Customer 027 Trading,INV-2101,206.13,2025-10-22,2025-11-21,,206.13,10000.0,0.0,sale,,SHIP-3101
R0102,C010,Customer 010 LLC,INV-2102,1161.06,2025-09-30,2025-10-30,2025-10-15,1161.06,10000.0,0.0,sale,,SHIP-3102
R0103,C017,Customer 017 Trading,INV-2103,96909.48,2025-09-20,2025-10-20,2025-10-05,96909.48,100000.0,0.0,sale,,SHIP-3103
R0104,C024,Customer 024 LLC,INV-2104,279609.42,2025-09-20,2025-10-20,2025-10-05,57932.0,50000.0,0.0,sale,,SHIP-3104
R0105,C005,Customer 005 Trading,INV-2105,142.32,2025-11-05,2025-12-05,2025-11-20,142.32,100000.0,0.0,sale,,
R0106,C026,Customer 026 LLC,INV-2106,5880.22,2025-11-07,2025-12-07,2025-11-22,5880.22,10000.0,0.0,sale,,SHIP-3106
R0107,C019,Customer 019 Trading,INV-2107,62070.49,2025-11-27,2025-12-27,,62070.49,25000.0,0.0,sale,,SHIP-3107
R0108,C002,Customer 002 LLC,INV-2108,292.3,2025-10-17,2025-11-16,,292.3,10000.0,0.0,sale,,SHIP-3108
R0109,C015,Customer 015 Trading,INV-2109,9012.5,2025-11-20,2025-12-20,2025-12-05,9012.5,10000.0,0.0,sale,,SHIP-3109
R0110,C022,Customer 022 LLC,INV-2110,717.73,2025-10-04,2025-11-03,2025-10-19,717.73,10000.0,0.0,sale,,
R0111,C003,Customer 003 Trading,INV-2111,41584.24,2025-08-01,2025-08-31,,41584.24,10000.0,0.0,sale,,SHIP-3111
R0112,C022,Customer 022 LLC,INV-2112,6933.71,2025-10-31,2025-11-30,2025-11-15,6933.71,50000.0,0.0,sale,,SHIP-3112
R0113,C028,Customer 028 Trading,INV-2113,850.07,2025-09-27,2025-10-27,2025-10-12,850.07,25000.0,0.0,sale,,SHIP-3113
R0114,C015,Customer 015 LLC,INV-2114,5355.76,2025-10-19,2025-11-18,2025-11-03,-5355.76,10000.0,0.0,refund,INV-2113,SHIP-3114
R0115,C022,Customer 022 Trading,INV-2115,1013.02,2025-09-06,2025-10-06,,1013.02,25000.0,436.6,writeoff,,
R0116,C009,Customer 009 LLC,INV-2116,19070.86,2025-11-28,2025-12-28,2025-12-13,19070.86,50000.0,0.0,sale,,SHIP-3116
R0117,C005,Customer 005 Trading,INV-2117,110.57,2025-09-08,2025-10-08,2025-09-23,104201.0,100000.0,0.0,sale,,SHIP-3117
R0118,C004,Customer 004 LLC,INV-2118,26463.55,2025-11-26,2025-12-26,,26463.55,100000.0,0.0,sale,,SHIP-3118
R0119,C017,Customer 017 Trading,INV-2119,998.62,2025-10-30,2025-11-29,2025-11-14,998.62,100000.0,0.0,sale,,SHIP-3119
R0120,C018,Customer 018 LLC,INV-2120,498.17,2025-09-11,2025-10-11,,498.17,100000.0,0.0,sale,,
R0121,C015,Customer 015 Trading,INV-2121,185.19,2025-11-04,2025-12-04,2025-11-19,185.19,100000.0,0.0,sale,,SHIP-3121
R0122,C013,Customer 013 LLC,INV-2122,542.54,2025-09-27,2025-10-27,2025-10-12,542.54,10000.0,0.0,sale,,SHIP-3122
R0123,C005,Customer 005 Trading,INV-2123,41323.93,2025-10-04,2025-11-03,2025-09-29,41323.93,50000.0,0.0,sale,,SHIP-3123
R0124,C027,Customer 027 LLC,INV-2124,16249.45,2025-10-06,2025-11-05,2025-10-21,16249.45,10000.0,0.0,sale,,SHIP-3124
R0125,C008,Customer 008 Trading,INV-2125,5528.51,2025-11-02,2025-12-02,,5528.51,100000.0,0.0,sale,,
R0126,C001,Customer 001 LLC,INV-2126,211280.06,2025-11-27,2025-12-27,2025-12-12,211280.06,100000.0,0.0,sale,,SHIP-3126
R0127,C024,Customer 024 Trading,INV-2127,310.8,2025-10-15,2025-11-14,,310.8,100000.0,0.0,sale,,SHIP-3127
R0128,C027,Customer 027 LLC,INV-2128,1444.23,2025-10-12,2025-11-11,2025-10-27,1444.23,50000.0,0.0,sale,,SHIP-3128
R0129,C004,Customer 004 Trading,INV-2129,194797.6,2025-09-26,2025-10-26,2025-10-11,194797.6,10000.0,0.0,sale,,SHIP-3129
R0130,C010,Customer 010 LLC,INV-2130,769.56,2025-09-09,2025-10-09,2025-09-24,105196.0,100000.0,0.0,sale,,
R0131,C019,Customer 019 Trading,INV-2131,185.1,2025-10-25,2025-11-24,2025-11-09,185.1,50000.0,0.0,sale,,SHIP-3131
R0132,C009,Customer 009 LLC,INV-2132,226.98,2025-11-24,2025-12-24,2025-12-09,226.98,50000.0,0.0,sale,,SHIP-3132
R0133,C005,Customer 005 Trading,INV-2133,745.82,2025-10-05,2025-11-04,2025-10-20,-745.82,100000.0,0.0,refund,INV-2132,SHIP-3133
R0134,C007,Customer 007 LLC,INV-2134,50832.65,2025-10-25,2025-11-24,2025-11-09,50832.65,10000.0,0.0,sale,,SHIP-3134
R0135,C021,Customer 021 Trading,INV-2135,2512.73,2025-11-10,2025-12-10,2025-11-25,2512.73,25000.0,0.0,sale,,
R0136,C002,Customer 002 LLC,INV-2136,184981.69,2025-10-23,2025-11-22,2025-11-07,184981.69,100000.0,0.0,sale,,SHIP-3136
R0137,C005,Customer 005 Trading,INV-2137,18018.45,2025-10-07,2025-11-06,,18018.45,100000.0,0.0,sale,,SHIP-3137
R0138,C018,Customer 018 LLC,INV-2138,278.99,2025-10-31,2025-11-30,,278.99,100000.0,149.95,writeoff,,SHIP-3138
R0139,C024,Customer 024 Trading,INV-2139,38513.1,2025-11-23,2025-12-23,2025-12-08,38513.1,50000.0,0.0,sale,,SHIP-3139
R0140,C008,Customer 008 LLC,INV-2140,1129.61,2025-11-11,2025-12-11,,1129.61,100000.0,0.0,sale,,
R0141,C021,Customer 021 Trading,INV-2141,367.96,2025-09-27,2025-10-27,2025-10-12,367.96,100000.0,0.0,sale,,SHIP-3141
R0142,C015,Customer 015 LLC,INV-2142,148562.04,2025-10-28,2025-11-27,,148562.04,100000.0,0.0,sale,,SHIP-3142
R0143,C007,Customer 007 Trading,INV-2143,714.99,2025-09-23,2025-10-23,,56553.0,50000.0,0.0,sale,,SHIP-3143
R0144,C008,Customer 008 LLC,INV-2144,1945.67,2025-11-12,2025-12-12,2025-11-27,1945.67,25000.0,0.0,sale,,SHIP-3144
R0145,C024,Customer 024 Trading,INV-2145,111469.04,2025-10-20,2025-11-19,2025-11-04,111469.04,100000.0,0.0,sale,,
R0146,C007,Customer 007 LLC,INV-2146,2084.64,2025-10-14,2025-11-13,2025-10-29,2084.64,10000.0,0.0,sale,,SHIP-3146
R0147,C019,Customer 019 Trading,INV-2147,243724.07,2025-09-17,2025-10-17,,243724.07,25000.0,0.0,sale,,SHIP-3147
R0148,C008,Customer 008 LLC,INV-2148,2218.01,2025-08-19,2025-09-18,,2218.01,100000.0,0.0,sale,,SHIP-3148
R0149,C014,Customer 014 Trading,INV-2149,218173.76,2025-09-03,2025-10-03,,218173.76,25000.0,0.0,sale,,SHIP-3149
R0150,C023,Customer 023 LLC,INV-2150,47088.81,2025-10-31,2025-11-30,,47088.81,100000.0,0.0,sale,,
R0151,C013,Customer 013 Trading,INV-2151,180233.19,2025-11-07,2025-12-07,2025-11-22,180233.19,100000.0,0.0,sale,,SHIP-3151
R0152,C008,Customer 008 LLC,INV-2152,55064.94,2025-09-29,2025-10-29,,-55064.94,25000.0,0.0,refund,INV-2151,SHIP-3152
R0153,C022,Customer 022 Trading,INV-2153,240.5,2025-11-29,2025-12-29,,240.5,100000.0,0.0,sale,,SHIP-3153
R0154,C025,Customer 025 LLC,INV-2154,137.53,2025-09-17,2025-10-17,2025-10-02,137.53,25000.0,0.0,sale,,SHIP-3154
R0155,C002,Customer 002 Trading,INV-2155,18166.46,2025-10-09,2025-11-08,2025-10-24,18166.46,25000.0,0.0,sale,,
R0156,C017,Customer 017 LLC,INV-2156,16866.26,2025-11-29,2025-12-29,,12814.0,10000.0,0.0,sale,,SHIP-3156
R0157,C017,Customer 017 Trading,INV-2157,200628.03,2025-09-25,2025-10-25,,200628.03,100000.0,0.0,sale,,SHIP-3157
R0158,C026,Customer 026 LLC,INV-2158,12697.35,2025-09-02,2025-10-02,2025-09-17,12697.35,50000.0,0.0,sale,,SHIP-3158
R0159,C009,Customer 009 Trading,INV-2159,227138.05,2025-11-22,2025-12-22,2025-12-07,227138.05,25000.0,0.0,sale,,SHIP-3159
R0160,C008,Customer 008 LLC,INV-2160,8213.11,2025-09-04,2025-10-04,2025-09-19,8213.11,100000.0,0.0,sale,,
R0161,C010,Customer 010 Trading,INV-2161,156.16,2025-09-25,2025-10-25,2025-10-10,156.16,100000.0,117.74,writeoff,,SHIP-3161
R0162,C003,Customer 003 LLC,INV-2162,795.05,2025-11-25,2025-12-25,2025-12-10,795.05,100000.0,0.0,sale,,SHIP-3162
R0163,C008,Customer 008 Trading,INV-2163,5312.54,2025-11-29,2025-12-29,2025-12-14,5312.54,50000.0,0.0,sale,,SHIP-3163
R0164,C012,Customer 012 LLC,INV-2164,24489.7,2025-09-26,2025-10-26,2025-09-21,24489.7,10000.0,0.0,sale,,SHIP-3164
R0165,C024,Customer 024 Trading,INV-2165,90787.08,2025-09-09,2025-10-09,2025-09-24,90787.08,25000.0,0.0,sale,,
R0166,C007,Customer 007 LLC,INV-2166,1233.12,2025-09-25,2025-10-25,2025-10-10,1233.12,25000.0,0.0,sale,,SHIP-3166
R0167,C009,Customer 009 Trading,INV-2167,45882.55,2025-10-08,2025-11-07,2025-10-23,45882.55,10000.0,0.0,sale,,SHIP-3167
R0168,C016,Customer 016 LLC,INV-2168,13656.65,2025-09-29,2025-10-29,2025-10-14,13656.65,100000.0,0.0,sale,,SHIP-3168
R0169,C022,Customer 022 Trading,INV-2169,157.57,2025-11-16,2025-12-16,,30223.0,25000.0,0.0,sale,,SHIP-3169
R0170,C001,Customer 001 LLC,INV-2170,256695.92,2025-09-19,2025-10-19,,256695.92,100000.0,0.0,sale,,
R0171,C002,Customer 002 Trading,INV-2171,440.93,2025-10-28,2025-11-27,2025-11-12,-440.93,50000.0,0.0,refund,INV-2170,SHIP-3171
R0172,C003,Customer 003 LLC,INV-2172,182215.05,2025-10-13,2025-11-12,,182215.05,25000.0,0.0,sale,,SHIP-3172
R0173,C017,Customer 017 Trading,INV-2173,40933.56,2025-09-05,2025-10-05,2025-09-20,40933.56,50000.0,0.0,sale,,SHIP-3173
R0174,C013,Customer 013 LLC,INV-2174,86485.74,2025-10-13,2025-11-12,,86485.74,100000.0,0.0,sale,,SHIP-3174
R0175,C001,Customer 001 Trading,INV-2175,187.87,2025-09-11,2025-10-11,2025-09-26,187.87,50000.0,0.0,sale,,
R0176,C004,Customer 004 LLC,INV-2176,9203.46,2025-09-27,2025-10-27,,9203.46,100000.0,0.0,sale,,SHIP-3176
R0177,C027,Customer 027 Trading,INV-2177,1203.5,2025-10-26,2025-11-25,,1203.5,10000.0,0.0,sale,,SHIP-3177
R0178,C016,Customer 016 LLC,INV-2178,484.18,2025-11-09,2025-12-09,,484.18,100000.0,0.0,sale,,SHIP-3178
R0179,C012,Customer 012 Trading,INV-2179,38073.19,2025-10-31,2025-11-30,2025-11-15,38073.19,10000.0,0.0,sale,,SHIP-3179
