record_id,journal_id,posting_date,posting_datetime,entry_date,entry_type,entered_by,debit_account,credit_account,amount,debit_amount,credit_amount,description,period_close_date,reverses_journal_id
R0035,JE-4035,2025-09-04,2025-09-04T08:41:00,2025-09-04,manual,ahmed.r,GL-2849,GL-9146,1218.49,1218.49,1218.49,monthly accrual,2025-10-31,
R0036,JE-4036,2025-11-18,2025-11-18T08:52:00,2025-11-18,auto,priya.s,GL-5932,GL-3346,20439.04,20439.04,20439.04,monthly accrual,2025-10-31,
R0037,JE-4037,2025-11-26,2025-11-26T13:20:00,2025-11-26,auto,fatima.a,GL-8240,GL-9164,13840.55,13840.55,13840.55,monthly accrual,2025-10-31,
R0038,JE-4038,2025-10-01,2025-10-01T23:56:00,2025-10-01,auto,ahmed.r,GL-8059,GL-4281,1394.32,1394.32,1394.32,monthly accrual,2025-10-31,
R0039,JE-4039,2025-09-28,2025-09-28T13:18:00,2025-09-28,auto,ahmed.r,GL-3231,GL-3204,2215.47,2215.47,2215.47,monthly accrual,2025-10-31,
R0040,JE-4040,2025-11-03,2025-11-03T08:10:00,2025-11-03,auto,fatima.a,GL-2050,GL-5535,1688.92,1688.92,1688.92,monthly accrual,2025-10-31,
R0041,JE-4041,2025-09-22,2025-09-22T14:12:00,2025-09-22,auto,john.c,GL-9519,GL-9091,248.26,248.26,201.9,monthly accrual,2025-10-31,
R0042,JE-4042,2025-11-29,2025-11-29T17:36:00,2025-11-29,auto,john.c,GL-6248,GL-2223,1269.99,1269.99,1269.99,monthly accrual,2025-10-31,
R0043,JE-4043,2025-09-05,2025-09-05T18:34:00,2025-09-05,auto,fatima.a,GL-5605,GL-6803,940.66,940.66,940.66,monthly accrual,2025-10-31,
R0044,JE-4044,2025-10-10,2025-10-10T18:10:00,2025-10-10,auto,ahmed.r,GL-7638,GL-8451,18728.47,18728.47,18728.47,monthly accrual,2025-10-31,
R0045,JE-4045,2025-09-25,2025-09-25T11:03:00,2025-09-25,auto,ahmed.r,GL-1769,GL-2889,122.05,122.05,122.05,monthly accrual,2025-10-31,
R0046,JE-4046,2025-10-28,2025-10-28T18:32:00,2025-10-28,auto,priya.s,GL-2277,GL-4244,240.75,240.75,240.75,,2025-10-31,
R0047,JE-4047,2025-11-05,2025-11-05T08:03:00,2025-11-05,manual,john.c,GL-9762,GL-1592,76459.65,76459.65,76459.65,monthly accrual,2025-10-31,
R0048,JE-4048,2025-09-23,2025-09-23T16:02:00,2025-09-23,auto,fatima.a,GL-9526,GL-9198,620.29,620.29,620.29,monthly accrual,2025-10-31,
R0049,JE-4049,2025-11-18,2025-11-18T11:24:00,2025-11-18,manual,sarah.k,GL-7725,GL-7356,308198.63,308198.63,308198.63,monthly accrual,2025-10-31,
R0050,JE-4050,2025-09-17,2025-09-17T08:47:00,2025-09-17,manual,john.c,GL-9235,GL-6621,3773.64,3773.64,3773.64,monthly accrual,2025-10-31,
R0051,JE-4051,2025-10-30,2025-10-30T09:09:00,2025-10-30,auto,fatima.a,GL-3023,GL-4494,1388.79,1388.79,1388.79,monthly accrual,2025-10-31,
R0052,JE-4052,2025-10-02,2025-10-02T12:58:00,2025-10-02,auto,maria.s,GL-6249,GL-5290,141235.24,141235.24,141235.24,monthly accrual,2025-10-31,
R0053,JE-4053,2025-09-03,2025-09-03T15:04:00,2025-09-08,manual,priya.s,GL-7904,GL-5509,1658.73,1658.73,1658.73,monthly accrual,2025-10-31,
R0054,JE-4054,2025-11-02,2025-11-02T09:50:00,2025-11-02,manual,john.c,GL-1575,GL-3832,165635.45,165635.45,165635.45,monthly accrual,2025-10-31,
R0055,JE-4055,2025-11-08,2025-11-08T10:37:00,2025-11-08,auto,john.c,GL-3435,GL-9462,1487.7,1487.7,1487.7,monthly accrual,2025-10-31,
R0056,JE-4056,2025-11-06,2025-11-06T15:26:00,2025-11-06,auto,maria.s,GL-2409,GL-4627,87079.83,87079.83,87079.83,monthly accrual,2025-10-31,
R0057,JE-4057,2025-10-27,2025-10-27T23:59:00,2025-10-27,manual,fatima.a,GL-3692,GL-9565,6971.43,6971.43,6971.43,monthly accrual,2025-10-31,
R0058,JE-4058,2025-11-05,2025-11-05T12:45:00,2025-11-05,auto,fatima.a,GL-7245,GL-4411,89677.17,89677.17,89677.17,monthly accrual,2025-10-31,JE-4057
R0059,JE-4059,2025-10-09,2025-10-09T16:56:00,2025-10-09,auto,priya.s,GL-9153,GL-4292,94994.69,94994.69,94994.69,monthly accrual,2025-10-31,
R0060,JE-4060,2025-10-23,2025-10-23T17:48:00,2025-10-23,auto,john.c,GL-1454,GL-9819,7510.4,7510.4,7510.4,monthly accrual,2025-10-31,
R0061,JE-4061,2025-09-06,2025-09-06T17:44:00,2025-09-06,manual,sarah.k,GL-9045,GL-2527,6398.26,6398.26,6398.26,monthly accrual,2025-10-31,
R0062,JE-4062,2025-11-28,2025-11-28T15:39:00,2025-11-28,auto,john.c,GL-7621,GL-5410,383.44,383.44,383.44,test plug adjustment,2025-10-31,
R0063,JE-4063,2025-10-04,2025-10-04T14:50:00,2025-10-04,manual,john.c,GL-9601,GL-6197,4529.66,4529.66,4529.66,monthly accrual,2025-10-31,
R0064,JE-4064,2025-09-14,2025-09-14T12:25:00,2025-09-14,auto,ahmed.r,GL-1373,GL-1583,467.82,467.82,467.82,monthly accrual,2025-10-31,
R0065,JE-4065,2025-09-25,2025-09-25T12:36:00,2025-09-25,manual,priya.s,GL-6822,GL-5005,350.23,350.23,350.23,monthly accrual,2025-10-31,
R0066,JE-4066,2025-11-19,2025-11-19T17:03:00,2025-11-19,auto,sarah.k,GL-9363,GL-5105,5570.31,5570.31,5570.31,monthly accrual,2025-10-31,
R0067,JE-4067,2025-09-26,2025-09-26T08:40:00,2025-09-26,auto,john.c,GL-7773,GL-9672,28496.17,28496.17,28496.17,monthly accrual,2025-10-31,
R0068,JE-4068,2025-11-18,2025-11-18T18:57:00,2025-11-18,manual,maria.s,GL-4577,GL-9677,362.28,362.28,362.28,monthly accrual,2025-10-31,
R0069,JE-4069,2025-09-28,2025-09-28T10:38:00,2025-09-28,auto,ahmed.r,GL-6695,GL-3967,95368.2,95368.2,95368.2,,2025-10-31,
R0070,JE-4070,2025-10-11,2025-10-11T11:45:00,2025-10-11,auto,ahmed.r,GL-4187,GL-2586,12910.59,12910.59,12910.59,monthly accrual,2025-10-31,
R0071,JE-4071,2025-09-18,2025-09-18T09:08:00,2025-09-18,manual,priya.s,GL-7355,GL-2589,129240.34,129240.34,129240.34,monthly accrual,2025-10-31,
R0072,JE-4072,2025-10-26,2025-10-26T10:54:00,2025-10-26,manual,ahmed.r,GL-7599,GL-1290,81769.22,81769.22,81769.22,monthly accrual,2025-10-31,
R0073,JE-4073,2025-09-13,2025-09-13T13:06:00,2025-09-13,auto,sarah.k,GL-9285,GL-6627,504.97,504.97,504.97,monthly accrual,2025-10-31,
R0074,JE-4074,2025-11-04,2025-11-04T09:59:00,2025-11-04,auto,john.c,GL-2739,GL-1398,312646.31,312646.31,312646.31,monthly accrual,2025-10-31,
R0075,JE-4075,2025-09-05,2025-09-05T17:02:00,2025-09-05,auto,john.c,GL-3401,GL-4105,46450.48,46450.48,46450.48,monthly accrual,2025-10-31,
R0076,JE-4076,2025-09-24,2025-09-24T23:27:00,2025-09-24,manual,ahmed.r,GL-5638,GL-2560,252.53,252.53,252.53,monthly accrual,2025-10-31,
R0077,JE-4077,2025-11-14,2025-11-14T15:05:00,2025-11-14,auto,sarah.k,GL-2584,GL-6354,164.74,164.74,164.74,monthly accrual,2025-10-31,
R0078,JE-4078,2025-10-21,2025-10-21T14:21:00,2025-10-21,auto,ahmed.r,GL-7113,GL-1217,4308.83,4308.83,4308.83,monthly accrual,2025-10-31,
R0079,JE-4079,2025-11-21,2025-11-21T10:01:00,2025-11-21,auto,john.c,GL-8437,GL-6891,28418.77,28418.77,28418.77,monthly accrual,2025-10-31,
R0080,JE-4080,2025-10-18,2025-10-18T10:21:00,2025-10-18,manual,sarah.k,GL-9397,GL-1252,2621.55,2621.55,2621.55,monthly accrual,2025-10-31,
R0081,JE-4081,2025-10-12,2025-10-12T18:35:00,2025-10-12,auto,john.c,GL-4128,GL-9262,133704.95,133704.95,133704.95,monthly accrual,2025-10-31,
R0082,JE-4082,2025-11-14,2025-11-14T09:38:00,2025-11-14,auto,fatima.a,GL-3622,GL-7645,275030.51,275030.51,275016.86,monthly accrual,2025-10-31,
R0083,JE-4083,2025-09-18,2025-09-18T13:57:00,2025-09-18,auto,john.c,GL-3974,GL-7647,137375.01,137375.01,137375.01,monthly accrual,2025-10-31,
R0084,JE-4084,2025-09-27,2025-09-27T13:42:00,2025-09-27,manual,priya.s,GL-8681,GL-2652,33823.63,33823.63,33823.63,monthly accrual,2025-10-31,
R0085,JE-4085,2025-09-02,2025-09-02T17:46:00,2025-09-02,auto,sarah.k,GL-4802,GL-5472,128282.85,128282.85,128282.85,monthly accrual,2025-10-31,
R0086,JE-4086,2025-11-25,2025-11-25T14:48:00,2025-11-25,manual,maria.s,GL-3981,GL-9733,1111.81,1111.81,1111.81,monthly accrual,2025-10-31,
R0087,JE-4087,2025-09-10,2025-09-10T18:40:00,2025-09-10,auto,ahmed.r,GL-2959,GL-7477,2309.83,2309.83,2309.83,monthly accrual,2025-10-31,JE-4086
R0088,JE-4088,2025-11-13,2025-11-13T11:24:00,2025-11-13,auto,priya.s,GL-8268,GL-7579,120.19,120.19,120.19,monthly accrual,2025-10-31,
R0089,JE-4089,2025-11-04,2025-11-04T14:21:00,2025-11-04,manual,sarah.k,GL-2612,GL-5236,150.18,150.18,150.18,monthly accrual,2025-10-31,
R0090,JE-4090,2025-10-03,2025-10-03T16:41:00,2025-10-03,manual,maria.s,GL-7810,GL-9530,922.4,922.4,922.4,monthly accrual,2025-10-31,
R0091,JE-4091,2025-11-12,2025-11-12T15:32:00,2025-11-12,manual,fatima.a,GL-2248,GL-1739,91695.26,91695.26,91695.26,monthly accrual,2025-10-31,
R0092,JE-4092,2025-10-20,2025-10-20T15:44:00,2025-10-20,manual,ahmed.r,GL-9118,GL-9879,180110.24,180110.24,180110.24,,2025-10-31,
R0093,JE-4093,2025-11-18,2025-11-18T15:52:00,2025-11-18,manual,john.c,GL-5660,GL-9630,12245.26,12245.26,12245.26,test plug adjustment,2025-10-31,
R0094,JE-4094,2025-11-05,2025-11-05T12:24:00,2025-11-05,manual,john.c,GL-5419,GL-5645,12371.21,12371.21,12371.21,monthly accrual,2025-10-31,
R0095,JE-4095,2025-11-24,2025-11-24T23:05:00,2025-11-24,manual,sarah.k,GL-5014,GL-1700,32218.57,32218.57,32218.57,monthly accrual,2025-10-31,
R0096,JE-4096,2025-11-21,2025-11-21T14:25:00,2025-11-21,auto,sarah.k,GL-6163,GL-7517,353.23,353.23,353.23,monthly accrual,2025-10-31,
R0097,JE-4097,2025-09-07,2025-09-07T13:23:00,2025-09-07,auto,sarah.k,GL-4665,GL-8037,10867.08,10867.08,10867.08,monthly accrual,2025-10-31,
R0098,JE-4098,2025-11-01,2025-11-01T08:32:00,2025-11-01,auto,maria.s,GL-2613,GL-8673,755.49,755.49,755.49,monthly accrual,2025-10-31,
R0099,JE-4099,2025-09-19,2025-09-19T17:34:00,2025-09-19,auto,fatima.a,GL-2885,GL-1825,266607.75,266607.75,266607.75,monthly accrual,2025-10-31,
R0100,JE-4100,2025-11-19,2025-11-19T08:18:00,2025-11-19,manual,priya.s,GL-9652,GL-3535,2884.38,2884.38,2884.38,monthly accrual,2025-10-31,
R0101,JE-4101,2025-09-16,2025-09-16T14:47:00,2025-09-16,manual,john.c,GL-5294,GL-7873,1868.78,1868.78,1868.78,monthly accrual,2025-10-31,
R0102,JE-4102,2025-10-17,2025-10-17T10:21:00,2025-10-17,auto,priya.s,GL-3111,GL-4906,52830.37,52830.37,52830.37,monthly accrual,2025-10-31,
R0103,JE-4103,2025-11-01,2025-11-01T16:14:00,2025-11-01,auto,maria.s,GL-6884,GL-5501,250.35,250.35,250.35,monthly accrual,2025-10-31,
R0104,JE-4104,2025-10-05,2025-10-05T17:33:00,2025-10-05,auto,ahmed.r,GL-5565,GL-4922,13624.8,13624.8,13624.8,monthly accrual,2025-10-31,
R0105,JE-4105,2025-09-27,2025-09-27T18:30:00,2025-09-27,auto,ahmed.r,GL-1647,GL-1995,214602.59,214602.59,214602.59,monthly accrual,2025-10-31,
R0106,JE-4106,2025-09-02,2025-09-02T17:52:00,2025-09-07,manual,sarah.k,GL-2678,GL-4646,887.74,887.74,887.74,monthly accrual,2025-10-31,
R0107,JE-4107,2025-11-09,2025-11-09T18:01:00,2025-11-09,auto,ahmed.r,GL-4846,GL-7114,941.91,941.91,941.91,monthly accrual,2025-10-31,
R0108,JE-4108,2025-11-01,2025-11-01T13:34:00,2025-11-01,manual,john.c,GL-3185,GL-2218,4730.91,4730.91,4730.91,monthly accrual,2025-10-31,
R0109,JE-4109,2025-09-16,2025-09-16T11:10:00,2025-09-16,auto,john.c,GL-7952,GL-5228,3677.76,3677.76,3677.76,monthly accrual,2025-10-31,
R0110,JE-4110,2025-10-20,2025-10-20T18:48:00,2025-10-20,manual,maria.s,GL-6331,GL-5765,68323.39,68323.39,68323.39,monthly accrual,2025-10-31,
R0111,JE-4111,2025-11-10,2025-11-10T10:33:00,2025-11-10,auto,john.c,GL-7049,GL-2589,45336.49,45336.49,45336.49,monthly accrual,2025-10-31,
R0112,JE-4112,2025-10-30,2025-10-30T09:00:00,2025-10-30,manual,john.c,GL-8943,GL-8594,115644.15,115644.15,115644.15,monthly accrual,2025-10-31,
R0113,JE-4113,2025-10-09,2025-10-09T12:58:00,2025-10-09,manual,ahmed.r,GL-2338,GL-5977,76249.48,76249.48,76249.48,monthly accrual,2025-10-31,
R0114,JE-4114,2025-11-03,2025-11-03T23:28:00,2025-11-03,auto,priya.s,GL-3341,GL-4584,34473.87,34473.87,34473.87,monthly accrual,2025-10-31,
R0115,JE-4115,2025-10-16,2025-10-16T09:46:00,2025-10-16,manual,priya.s,GL-8225,GL-5574,19971.98,19971.98,19971.98,,2025-10-31,
R0116,JE-4116,2025-10-27,2025-10-27T15:13:00,2025-10-27,auto,priya.s,GL-4624,GL-7546,7173.64,7173.64,7173.64,monthly accrual,2025-10-31,JE-4115
R0117,JE-4117,2025-11-06,2025-11-06T13:51:00,2025-11-06,manual,sarah.k,GL-6952,GL-7481,739.72,739.72,739.72,monthly accrual,2025-10-31,
R0118,JE-4118,2025-11-14,2025-11-14T17:53:00,2025-11-14,manual,priya.s,GL-7393,GL-9856,2272.63,2272.63,2272.63,monthly accrual,2025-10-31,
R0119,JE-4119,2025-09-20,2025-09-20T10:21:00,2025-09-20,auto,sarah.k,GL-8444,GL-5611,84589.66,84589.66,84589.66,monthly accrual,2025-10-31,
R0120,JE-4120,2025-09-03,2025-09-03T10:32:00,2025-09-03,manual,maria.s,GL-5847,GL-1366,594.76,594.76,594.76,monthly accrual,2025-10-31,
R0121,JE-4121,2025-11-23,2025-11-23T17:16:00,2025-11-23,manual,maria.s,GL-6004,GL-9936,88289.18,88289.18,88289.18,monthly accrual,2025-10-31,
R0122,JE-4122,2025-09-11,2025-09-11T09:50:00,2025-09-11,manual,priya.s,GL-2387,GL-1425,1481.92,1481.92,1481.92,monthly accrual,2025-10-31,
R0123,JE-4123,2025-11-21,2025-11-21T14:31:00,2025-11-21,manual,ahmed.r,GL-4611,GL-9011,19381.37,19381.37,19340.37,monthly accrual,2025-10-31,
R0124,JE-4124,2025-11-06,2025-11-06T13:20:00,2025-11-06,auto,priya.s,GL-6455,GL-3239,1526.12,1526.12,1526.12,test plug adjustment,2025-10-31,
R0125,JE-4125,2025-11-03,2025-11-03T09:01:00,2025-11-03,auto,fatima.a,GL-1757,GL-7727,5106.74,5106.74,5106.74,monthly accrual,2025-10-31,
R0126,JE-4126,2025-11-29,2025-11-29T14:18:00,2025-11-29,manual,sarah.k,GL-8612,GL-9869,1667.55,1667.55,1667.55,monthly accrual,2025-10-31,
R0127,JE-4127,2025-11-21,2025-11-21T08:35:00,2025-11-21,manual,sarah.k,GL-7907,GL-7888,121.68,121.68,121.68,monthly accrual,2025-10-31,
R0128,JE-4128,2025-09-19,2025-09-19T18:18:00,2025-09-19,manual,john.c,GL-3746,GL-6257,724.47,724.47,724.47,monthly accrual,2025-10-31,
R0129,JE-4129,2025-09-27,2025-09-27T12:29:00,2025-09-27,auto,sarah.k,GL-8724,GL-6053,2304.86,2304.86,2304.86,monthly accrual,2025-10-31,
R0130,JE-4130,2025-09-15,2025-09-15T10:22:00,2025-09-15,manual,sarah.k,GL-8516,GL-1281,1154.11,1154.11,1154.11,monthly accrual,2025-10-31,
R0131,JE-4131,2025-11-14,2025-11-14T13:02:00,2025-11-14,auto,sarah.k,GL-4237,GL-4023,4828.07,4828.07,4828.07,monthly accrual,2025-10-31,
R0132,JE-4132,2025-10-16,2025-10-16T15:18:00,2025-10-16,manual,maria.s,GL-9333,GL-4669,576.47,576.47,576.47,monthly accrual,2025-10-31,
R0133,JE-4133,2025-10-27,2025-10-27T23:09:00,2025-10-27,manual,ahmed.r,GL-6107,GL-9982,444.07,444.07,444.07,monthly accrual,2025-10-31,
R0134,JE-4134,2025-11-10,2025-11-10T14:41:00,2025-11-10,manual,priya.s,GL-9967,GL-2514,4766.71,4766.71,4766.71,monthly accrual,2025-10-31,
R0135,JE-4135,2025-11-01,2025-11-01T11:14:00,2025-11-01,manual,ahmed.r,GL-7307,GL-9643,104477.01,104477.01,104477.01,monthly accrual,2025-10-31,
R0136,JE-4136,2025-11-06,2025-11-06T08:45:00,2025-11-06,auto,fatima.a,GL-4893,GL-1178,51238.54,51238.54,51238.54,monthly accrual,2025-10-31,
R0137,JE-4137,2025-10-31,2025-10-31T11:05:00,2025-10-31,auto,fatima.a,GL-7904,GL-3577,147333.29,147333.29,147333.29,monthly accrual,2025-10-31,
R0138,JE-4138,2025-10-24,2025-10-24T12:12:00,2025-10-24,manual,maria.s,GL-3148,GL-5366,354.15,354.15,354.15,,2025-10-31,
R0139,JE-4139,2025-11-06,2025-11-06T10:58:00,2025-11-06,manual,sarah.k,GL-4347,GL-3441,7430.49,7430.49,7430.49,monthly accrual,2025-10-31,
R0140,JE-4140,2025-09-17,2025-09-17T16:41:00,2025-09-17,manual,sarah.k,GL-8865,GL-8678,194.31,194.31,194.31,monthly accrual,2025-10-31,
R0141,JE-4141,2025-11-05,2025-11-05T16:31:00,2025-11-05,auto,priya.s,GL-1311,GL-4076,220917.01,220917.01,220917.01,monthly accrual,2025-10-31,
R0142,JE-4142,2025-10-24,2025-10-24T15:03:00,2025-10-24,auto,ahmed.r,GL-1609,GL-9902,473.97,473.97,473.97,monthly accrual,2025-10-31,
R0143,JE-4143,2025-10-23,2025-10-23T12:06:00,2025-10-23,manual,priya.s,GL-6091,GL-7643,6916.0,6916.0,6916.0,monthly accrual,2025-10-31,
R0144,JE-4144,2025-09-10,2025-09-10T18:51:00,2025-09-10,auto,fatima.a,GL-2098,GL-6893,8858.65,8858.65,8858.65,monthly accrual,2025-10-31,
R0145,JE-4145,2025-09-10,2025-09-10T14:55:00,2025-09-10,manual,fatima.a,GL-8565,GL-2997,25399.79,25399.79,25399.79,monthly accrual,2025-10-31,JE-4144
R0146,JE-4146,2025-11-23,2025-11-23T15:49:00,2025-11-23,auto,ahmed.r,GL-5808,GL-2856,3618.99,3618.99,3618.99,monthly accrual,2025-10-31,
R0147,JE-4147,2025-11-01,2025-11-01T11:18:00,2025-11-01,auto,maria.s,GL-3492,GL-5757,50277.37,50277.37,50277.37,monthly accrual,2025-10-31,
R0148,JE-4148,2025-11-20,2025-11-20T12:52:00,2025-11-20,auto,priya.s,GL-7425,GL-2424,2069.95,2069.95,2069.95,monthly accrual,2025-10-31,
R0149,JE-4149,2025-10-03,2025-10-03T09:14:00,2025-10-03,manual,priya.s,GL-6074,GL-5486,457.4,457.4,457.4,monthly accrual,2025-10-31,
R0150,JE-4150,2025-11-12,2025-11-12T15:52:00,2025-11-12,auto,john.c,GL-2511,GL-2668,4409.27,4409.27,4409.27,monthly accrual,2025-10-31,
R0151,JE-4151,2025-09-19,2025-09-19T18:44:00,2025-09-19,manual,fatima.a,GL-3936,GL-3947,14997.61,14997.61,14997.61,monthly accrual,2025-10-31,
R0152,JE-4152,2025-09-25,2025-09-25T23:15:00,2025-09-25,auto,maria.s,GL-2476,GL-2645,2558.45,2558.45,2558.45,monthly accrual,2025-10-31,
R0153,JE-4153,2025-09-30,2025-09-30T14:10:00,2025-09-30,auto,john.c,GL-2190,GL-6597,129.79,129.79,129.79,monthly accrual,2025-10-31,
R0154,JE-4154,2025-10-25,2025-10-25T11:26:00,2025-10-25,manual,ahmed.r,GL-7323,GL-8909,175444.1,175444.1,175444.1,monthly accrual,2025-10-31,
R0155,JE-4155,2025-10-13,2025-10-13T14:15:00,2025-10-13,auto,maria.s,GL-6205,GL-5014,167739.83,167739.83,167739.83,test plug adjustment,2025-10-31,
R0156,JE-4156,2025-11-24,2025-11-24T12:31:00,2025-11-24,auto,priya.s,GL-4092,GL-6607,281457.83,281457.83,281457.83,monthly accrual,2025-10-31,
R0157,JE-4157,2025-10-10,2025-10-10T14:32:00,2025-10-10,manual,ahmed.r,GL-9345,GL-6451,18946.46,18946.46,18946.46,monthly accrual,2025-10-31,
R0158,JE-4158,2025-10-08,2025-10-08T10:10:00,2025-10-08,auto,priya.s,GL-9828,GL-5890,77296.56,77296.56,77296.56,monthly accrual,2025-10-31,
