record_id,sku,item_name,category,quantity,unit_cost,unit_price,value,last_movement_date,movement_count,book_qty,physical_qty
R0029,SKU-0029,Item 029,Luxury,29,0,0.0,0,2025-03-15,90,29,29
R0030,SKU-0030,Item 030,Tools,186,392.75,835.57,73051.5,2025-07-09,143,186,186
R0031,SKU-0031,Item 031,Electronics,53,277.8,954.79,14723.4,2024-12-30,157,53,45
R0032,SKU-0032,Item 032,Luxury,13,246.89,527.26,3209.57,2025-02-10,115,13,13
R0033,SKU-0033,Item 033,Consumables,9,262.96,675.6,2366.64,2024-08-10,26,9,9
R0034,SKU-0034,Item 034,Tools,-11,200.15,345.85,-2201.65,2024-10-05,47,-11,-11
R0035,SKU-0035,Item 035,Luxury,180,304.22,706.25,54759.6,2024-09-10,16,180,180
R0036,SKU-0036,Item 036,Electronics,144,337.19,664.29,48555.36,2024-07-29,124,144,144
R0037,SKU-0037,Item 037,Luxury,38,370.75,848.59,14088.5,2025-02-16,5,38,38
R0038,SKU-0038,Item 038,Consumables,32,48.0,128.67,1536.0,2025-03-03,125,32,32
R0039,SKU-0038,Item 039,Electronics,150,493.36,1254.71,74004.0,2024-12-02,77,150,150
R0040,SKU-0040,Item 040,Electronics,3,61.2,154.33,183.6,2024-08-21,16,3,3
R0041,SKU-0041,Item 041,Consumables,6,47.29,103.2,283.74,2025-02-08,86,6,6
R0042,SKU-0042,Item 042,Electronics,68,472.57,704.86,32134.76,2024-09-27,46,68,68
R0043,SKU-0043,Item 043,Luxury,26,320.07,519.93,8321.82,2025-04-04,163,26,26
R0044,SKU-0044,Item 044,Consumables,197,287.99,859.7,56734.03,2024-08-14,98,197,197
R0045,SKU-0045,Item 045,Electronics,77,9.47,13.76,729.19,2025-04-29,184,77,77
R0046,SKU-0046,Item 046,Tools,198,242.96,425.27,48106.08,2023-09-26,98,198,198
R0047,SKU-0047,Item 047,Tools,40,358.15,690.4,14326.0,2024-09-01,42,40,40
R0048,SKU-0048,Item 048,Spare parts,162,244.06,378.83,39537.72,2025-04-12,152,162,162
R0049,SKU-0049,Item 049,Spare parts,131,218.89,376.29,28674.59,2025-06-04,168,131,131
R0050,SKU-0050,Item 050,Electronics,148,475.03,1352.29,70304.44,2024-08-03,78,148,148
R0051,SKU-0051,Item 051,Spare parts,-3,213.12,327.85,-639.36,2025-07-15,161,-3,-3
R0052,SKU-0052,Item 052,Spare parts,100,250.45,692.73,25045.0,2024-08-09,114,100,100
R0053,SKU-0053,Item 053,Luxury,145,127.96,423.55,18554.2,2025-07-06,99,145,145
R0054,SKU-0054,Item 054,Spare parts,190,286.95,977.12,54520.5,2024-09-14,101,190,190
R0055,SKU-0055,Item 055,Tools,35,24.28,46.08,849.8,2025-08-18,200,35,35
R0056,SKU-0056,Item 056,Luxury,21,372.38,831.6,7819.98,2025-01-22,161,21,21
R0057,SKU-0057,Item 057,Luxury,24,257.94,447.2,6190.56,2025-04-01,124,24,23
R0058,SKU-0058,Item 058,Consumables,109,0,0.0,0,2024-12-15,124,109,104
R0059,SKU-0059,Item 059,Luxury,95,145.88,409.36,13858.6,2025-06-08,58,95,95
R0060,SKU-0060,Item 060,Electronics,138,373.96,1126.1,51606.48,2025-01-30,171,138,134
R0061,SKU-0061,Item 061,Consumables,153,17.62,44.07,2695.86,2024-12-24,87,153,153
R0062,SKU-0062,Item 062,Luxury,120,319.84,771.17,38380.8,2025-04-26,193,120,120
R0063,SKU-0063,Item 063,Consumables,14,33.85,58.49,473.9,2025-05-23,73,14,14
R0064,SKU-0064,Item 064,Luxury,35,453.67,956.01,15878.45,2024-12-14,83,35,35
R0065,SKU-0065,Item 065,Consumables,87,474.04,1295.83,41241.48,2025-04-10,200,87,79
R0066,SKU-0066,Item 066,Electronics,163,42.19,105.28,6876.97,2024-09-06,158,163,163
R0067,SKU-0067,Item 067,Luxury,145,423.62,1325.99,61424.9,2025-01-31,67,145,138
R0068,SKU-0068,Item 068,Spare parts,-3,479.37,916.8,-1438.11,2025-05-07,125,-3,-3
R0069,SKU-0069,Item 069,Spare parts,166,14.31,26.36,2375.46,2023-07-11,80,166,166
R0070,SKU-0070,Item 070,Electronics,68,379.82,827.69,25827.76,2025-08-17,32,68,68
R0071,SKU-0071,Item 071,Tools,78,484.24,1577.02,37770.72,2025-04-20,45,78,78
R0072,SKU-0072,Item 072,Consumables,140,57.93,124.2,8110.2,2025-03-11,149,140,140
R0073,SKU-0073,Item 073,Tools,73,354.48,908.47,25877.04,2024-12-15,93,73,73
R0074,SKU-0074,Item 074,Luxury,155,253.12,514.0,39233.6,2024-08-01,73,155,155
R0075,SKU-0075,Item 075,Luxury,109,90.83,182.37,9900.47,2025-03-20,132,109,109
R0076,SKU-0076,Item 076,Electronics,58,185.31,526.31,10747.98,2025-01-28,116,58,58
R0077,SKU-0077,Item 077,Consumables,114,431.36,1414.42,49175.04,2025-05-29,189,114,112
R0078,SKU-0077,Item 078,Luxury,107,200.65,529.95,21469.55,2025-08-21,193,107,107
R0079,SKU-0079,Item 079,Consumables,25,55.7,168.03,1392.5,2024-09-24,39,25,25
R0080,SKU-0080,Item 080,Luxury,199,396.51,1329.49,78905.49,2024-10-09,136,199,199
R0081,SKU-0081,Item 081,Tools,123,149.55,353.54,18394.65,2025-08-21,126,123,123
R0082,SKU-0082,Item 082,Electronics,163,493.03,1336.92,80363.89,2024-08-04,166,163,163
R0083,SKU-0083,Item 083,Luxury,30,424.05,1059.4,12721.5,2025-06-13,11,30,30
R0084,SKU-0084,Item 084,Electronics,132,340.35,872.79,44926.2,2024-09-12,80,132,132
R0085,SKU-0085,Item 085,Tools,-12,267.18,889.86,-3206.16,2025-05-27,61,-12,-12
R0086,SKU-0086,Item 086,Tools,46,333.07,1164.59,15321.22,2025-02-20,159,46,46
R0087,SKU-0087,Item 087,Spare parts,119,0,0.0,0,2025-03-13,191,119,119
R0088,SKU-0088,Item 088,Spare parts,111,54.66,93.85,6067.26,2024-08-10,94,111,111
R0089,SKU-0089,Item 089,Luxury,89,179.58,475.56,15982.62,2025-03-10,80,89,89
R0090,SKU-0090,Item 090,Consumables,114,389.48,646.03,44400.72,2024-11-01,58,114,114
R0091,SKU-0091,Item 091,Consumables,111,248.95,535.79,27633.45,2025-04-23,144,111,111
R0092,SKU-0092,Item 092,Luxury,32,265.41,576.14,8493.12,2023-09-19,5,32,32
R0093,SKU-0093,Item 093,Luxury,39,286.93,653.27,11190.27,2024-09-09,91,39,39
R0094,SKU-0094,Item 094,Tools,44,43.82,115.69,1928.08,2024-08-24,102,44,44
R0095,SKU-0095,Item 095,Consumables,90,253.0,403.37,22770.0,2024-09-18,180,90,90
R0096,SKU-0096,Item 096,Electronics,3,451.44,731.71,1354.32,2025-03-11,81,3,3
R0097,SKU-0097,Item 097,Tools,187,151.44,310.18,28319.28,2024-09-10,190,187,187
R0098,SKU-0098,Item 098,Spare parts,25,281.25,706.48,7031.25,2025-05-06,187,25,25
R0099,SKU-0099,Item 099,Electronics,19,274.83,731.67,5221.77,2024-07-30,28,19,19
R0100,SKU-0100,Item 100,Consumables,48,403.54,913.5,19369.92,2025-08-29,176,48,48
R0101,SKU-0101,Item 101,Electronics,121,348.56,638.49,42175.76,2024-08-24,153,121,121
R0102,SKU-0102,Item 102,Consumables,-5,459.99,1283.12,-2299.95,2024-12-20,75,-5,-5
R0103,SKU-0103,Item 103,Luxury,87,134.61,390.31,11711.07,2024-08-30,21,87,87
R0104,SKU-0104,Item 104,Luxury,50,303.48,724.56,15174.0,2025-06-14,157,50,50
R0105,SKU-0105,Item 105,Tools,90,0.66,1.75,59.4,2025-02-09,45,90,90
R0106,SKU-0106,Item 106,Luxury,27,448.56,750.63,12111.12,2024-10-13,32,27,27
R0107,SKU-0107,Item 107,Luxury,30,98.14,307.57,2944.2,2025-04-06,66,30,30
R0108,SKU-0108,Item 108,Tools,76,343.59,1152.4,26112.84,2024-11-24,161,76,76
R0109,SKU-0109,Item 109,Consumables,196,199.02,351.92,39007.92,2024-11-24,164,196,196
R0110,SKU-0110,Item 110,Spare parts,92,184.74,616.96,16996.08,2025-05-23,27,92,92
R0111,SKU-0111,Item 111,Consumables,162,429.79,1416.18,69625.98,2024-10-04,43,162,162
R0112,SKU-0112,Item 112,Tools,56,47.66,120.64,2668.96,2025-06-02,183,56,56
R0113,SKU-0113,Item 113,Consumables,173,217.09,318.48,37556.57,2024-11-10,10,173,173
R0114,SKU-0114,Item 114,Spare parts,184,326.24,713.04,60028.16,2025-04-29,72,184,184
R0115,SKU-0115,Item 115,Luxury,52,249.74,476.86,12986.48,2023-07-16,179,52,51
R0116,SKU-0116,Item 116,Luxury,197,0,0.0,0,2025-06-17,88,197,192
R0117,SKU-0116,Item 117,Electronics,170,299.38,591.45,50894.6,2025-02-12,153,170,170
R0118,SKU-0118,Item 118,Tools,182,136.61,208.56,24863.02,2025-05-12,138,182,180
R0119,SKU-0119,Item 119,Tools,-7,269.61,575.25,-1887.27,2025-06-17,34,-7,-7
R0120,SKU-0120,Item 120,Electronics,41,136.3,288.39,5588.3,2025-06-05,131,41,41
R0121,SKU-0121,Item 121,Spare parts,15,124.73,350.81,1870.95,2024-08-30,125,15,7
R0122,SKU-0122,Item 122,Spare parts,42,224.17,492.19,9415.14,2025-03-12,137,42,42
R0123,SKU-0123,Item 123,Luxury,87,268.82,500.16,23387.34,2024-11-12,198,87,87
R0124,SKU-0124,Item 124,Consumables,163,109.17,271.94,17794.71,2025-01-01,34,163,163
R0125,SKU-0125,Item 125,Spare parts,118,140.44,299.31,16571.92,2025-07-04,133,118,111
R0126,SKU-0126,Item 126,Tools,55,273.56,896.94,15045.8,2025-05-06,56,55,55
R0127,SKU-0127,Item 127,Luxury,126,264.95,471.94,33383.7,2025-04-22,179,126,126
R0128,SKU-0128,Item 128,Tools,43,89.39,307.22,3843.77,2024-12-25,37,43,43
R0129,SKU-0129,Item 129,Luxury,88,341.35,792.46,30038.8,2024-09-06,40,88,88
R0130,SKU-0130,Item 130,Electronics,182,374.62,1192.42,68180.84,2024-12-07,111,182,182
R0131,SKU-0131,Item 131,Spare parts,49,347.89,930.95,17046.61,2025-04-30,167,49,49
R0132,SKU-0132,Item 132,Consumables,-2,6.6,9.83,-13.2,2025-04-02,65,-2,-9
R0133,SKU-0133,Item 133,Luxury,170,214.86,449.14,36526.2,2024-10-11,135,170,170
R0134,SKU-0134,Item 134,Tools,92,270.12,536.78,24851.04,2024-08-04,90,92,92
R0135,SKU-0135,Item 135,Tools,74,220.72,614.61,16333.28,2025-03-14,136,74,71
R0136,SKU-0136,Item 136,Luxury,-4,264.31,615.51,-1057.24,2025-02-26,17,-4,-12
R0137,SKU-0137,Item 137,Electronics,14,133.78,439.65,1872.92,2025-05-21,18,14,6
R0138,SKU-0138,Item 138,Consumables,83,151.23,261.88,12552.09,2023-06-24,196,83,83
R0139,SKU-0139,Item 139,Consumables,113,102.0,296.06,11526.0,2024-11-01,167,113,113
R0140,SKU-0140,Item 140,Luxury,32,355.13,1089.58,11364.16,2024-10-14,195,32,32
R0141,SKU-0141,Item 141,Tools,71,285.74,998.58,20287.54,2025-03-05,115,71,71
R0142,SKU-0142,Item 142,Spare parts,154,271.82,619.5,41860.28,2025-05-06,144,154,154
R0143,SKU-0143,Item 143,Luxury,84,412.77,1331.66,34672.68,2025-05-25,35,84,84
R0144,SKU-0144,Item 144,Electronics,30,244.44,603.14,7333.2,2025-06-09,8,30,30
R0145,SKU-0145,Item 145,Spare parts,128,0,0.0,0,2024-08-02,29,128,128
R0146,SKU-0146,Item 146,Tools,1,137.01,277.72,137.01,2025-03-22,116,1,1
R0147,SKU-0147,Item 147,Consumables,171,309.34,646.41,52897.14,2025-07-04,32,171,171
R0148,SKU-0148,Item 148,Consumables,175,464.07,1330.3,81212.25,2024-09-27,4,175,175
R0149,SKU-0149,Item 149,Electronics,90,256.26,864.44,23063.4,2025-08-05,73,90,82
R0150,SKU-0150,Item 150,Tools,-3,210.2,352.1,-630.6,2025-01-28,152,-3,-3
R0151,SKU-0151,Item 151,Tools,140,120.38,178.34,16853.2,2025-01-05,151,140,140
R0152,SKU-0152,Item 152,Luxury,177,1.54,4.2,272.58,2025-04-08,23,177,177
R0153,SKU-0153,Item 153,Electronics,-12,26.15,57.71,-313.8,2025-07-05,169,-12,-18
R0154,SKU-0154,Item 154,Spare parts,56,310.13,990.82,17367.28,2024-09-27,165,56,56
R0155,SKU-0155,Item 155,Spare parts,44,141.83,441.43,6240.52,2025-07-24,32,44,44
R0156,SKU-0155,Item 156,Tools,56,197.83,344.92,11078.48,2024-12-10,161,56,56
R0157,SKU-0157,Item 157,Luxury,132,118.35,233.98,15622.2,2025-04-24,181,132,132
R0158,SKU-0158,Item 158,Spare parts,35,84.75,296.16,2966.25,2024-11-18,42,35,35
R0159,SKU-0159,Item 159,Consumables,161,412.04,1188.84,66338.44,2025-08-31,36,161,161
R0160,SKU-0160,Item 160,Consumables,128,99.86,250.14,12782.08,2025-08-25,74,128,128
R0161,SKU-0161,Item 161,Tools,97,434.84,1010.52,42179.48,2023-08-26,170,97,97
R0162,SKU-0162,Item 162,Luxury,136,186.26,271.05,25331.36,2025-08-22,110,136,136
R0163,SKU-0163,Item 163,Consumables,27,486.98,1624.47,13148.46,2025-04-22,164,27,24
R0164,SKU-0164,Item 164,Electronics,32,453.12,646.7,14499.84,2025-05-02,143,32,26
R0165,SKU-0165,Item 165,Luxury,125,263.31,902.68,32913.75,2025-08-03,179,125,124
R0166,SKU-0166,Item 166,Consumables,67,178.37,531.9,11950.79,2025-07-06,199,67,67
R0167,SKU-0167,Item 167,Tools,146,144.73,292.32,21130.58,2025-02-27,22,146,146
R0168,SKU-0168,Item 168,Luxury,128,487.52,1628.49,62402.56,2025-07-14,160,128,128
R0169,SKU-0169,Item 169,Consumables,113,116.2,341.8,13130.6,2025-01-02,178,113,113
R0170,SKU-0170,Item 170,Spare parts,-7,352.63,493.75,-2468.41,2024-10-27,148,-7,-9
R0171,SKU-0171,Item 171,Luxury,188,67.6,125.5,12708.8,2025-01-06,33,188,186
R0172,SKU-0172,Item 172,Tools,155,31.67,53.06,4908.85,2025-01-25,143,155,155
R0173,SKU-0173,Item 173,Consumables,88,498.67,1025.98,43882.96,2024-09-29,63,88,80
R0174,SKU-0174,Item 174,Luxury,191,0,0.0,0,2025-02-16,145,191,191
R0175,SKU-0175,Item 175,Luxury,141,404.69,812.09,57061.29,2024-10-10,176,141,141
R0176,SKU-0176,Item 176,Electronics,164,262.47,782.45,43045.08,2024-10-26,111,164,164
R0177,SKU-0177,Item 177,Tools,151,291.9,721.73,44076.9,2025-02-15,156,151,151
R0178,SKU-0178,Item 178,Spare parts,86,398.82,1379.89,34298.52,2025-05-19,87,86,86
R0179,SKU-0179,Item 179,Tools,8,252.8,431.82,2022.4,2025-06-25,24,8,8
