record_id,bank_account,check_number,transaction_date,deposit_date,issue_date,amount,charge_amount,status,user_id,from_account,to_account,description
R0016,ACC-004,,2025-09-09,,2025-09-09,26642.83,20.48,uncleared,user03,ACC-002,ACC-004,transfer
R0017,ACC-002,5017,2025-11-18,,2025-11-18,8409.71,16.63,uncleared,user03,ACC-001,ACC-002,transfer
R0018,ACC-005,5018,2025-10-26,,2025-10-26,740.0,34.43,voided,user01,ACC-001,ACC-004,supplier payment
R0019,ACC-001,5019,2025-10-04,2025-09-24,2025-10-04,127127.49,16.91,in_transit,user01,ACC-004,ACC-003,transfer
R0020,ACC-004,,2025-09-19,,2025-09-19,41891.4,37.29,cleared,user01,ACC-001,ACC-003,transfer
R0021,ACC-005,5021,2025-10-24,,2025-10-24,28094.63,26.62,cleared,user02,ACC-005,ACC-002,supplier payment
R0022,ACC-001,5022,2025-09-12,,2025-09-12,620.5,33.67,cleared,user03,ACC-004,ACC-005,transfer
R0023,ACC-003,5023,2025-10-23,,2025-10-23,1048.8,13.68,cleared,user02,ACC-003,ACC-004,transfer
R0024,ACC-005,,2025-09-21,,2025-09-21,2272.09,13.9,cleared,user01,ACC-004,ACC-003,supplier payment
R0025,ACC-001,5025,2025-10-20,,2025-10-20,575.98,31.02,cleared,user01,ACC-002,ACC-004,transfer
R0026,ACC-001,5026,2025-10-06,,2025-10-06,9574.02,12.38,cleared,user03,ACC-001,ACC-004,transfer
R0027,ACC-002,5027,2025-11-21,,2025-11-21,4397.39,18.11,cleared,user01,ACC-001,ACC-004,supplier payment
R0028,ACC-005,,2025-11-19,,2025-11-19,85314.01,33.97,cleared,user02,ACC-005,ACC-004,transfer
R0029,ACC-001,5029,2025-09-11,,2025-09-11,15363.01,48.81,cleared,user03,ACC-005,ACC-002,transfer
R0030,ACC-004,5030,2025-09-24,,2025-09-24,282056.33,44.83,cleared,user02,ACC-002,ACC-004,supplier payment
R0031,ACC-003,5031,2025-09-06,,2025-09-06,60560.47,1.47,uncleared,user02,ACC-001,ACC-002,transfer
R0032,ACC-005,,2025-09-12,,2025-09-12,363.18,11.12,cleared,user03,ACC-004,ACC-003,transfer
R0033,ACC-004,5033,2025-10-26,,2025-10-26,20986.8,44.32,cleared,user03,ACC-002,ACC-004,supplier payment
R0034,ACC-004,5034,2025-09-17,2025-09-07,2025-09-17,1770.54,19.75,in_transit,user03,ACC-003,ACC-001,transfer
R0035,ACC-004,5035,2025-09-27,,2025-09-27,45079.24,21.13,cleared,user01,ACC-002,ACC-004,transfer
R0036,ACC-003,,2025-10-11,,2025-10-11,37652.66,12.3,cleared,user02,ACC-002,ACC-005,supplier payment
R0037,ACC-003,5037,2025-09-05,,2025-09-05,22265.21,28.78,cleared,user01,ACC-002,ACC-005,transfer
R0038,ACC-004,5038,2025-11-08,,2025-11-08,139606.85,49.06,cleared,user03,ACC-005,ACC-002,transfer
R0039,ACC-004,5039,2025-10-26,,2025-10-26,271613.34,12.73,cleared,user03,ACC-001,ACC-005,supplier payment
R0040,ACC-002,,2025-09-05,,2025-09-05,2983.38,30.12,cleared,user01,ACC-003,ACC-002,transfer
R0041,ACC-004,5041,2025-11-15,,2025-11-15,69276.01,23.66,cleared,user01,ACC-001,ACC-002,transfer
R0042,ACC-005,5042,2025-11-22,,2025-11-22,62407.46,32.28,cleared,user02,ACC-001,ACC-003,supplier payment
R0043,ACC-003,5043,2025-10-10,,2025-10-10,870.95,48.14,cleared,user01,ACC-004,ACC-003,transfer
R0044,ACC-001,,2025-09-29,,2025-09-29,58380.64,34.46,cleared,user01,ACC-005,ACC-002,transfer
R0045,ACC-001,5045,2025-11-25,,2025-11-25,175043.37,47.76,cleared,user03,ACC-003,ACC-004,supplier payment
R0046,ACC-004,5046,2025-09-11,2025-09-01,2025-09-11,79887.13,47.86,in_transit,user03,ACC-001,ACC-003,transfer
R0047,ACC-001,5047,2025-09-05,,2025-09-05,6179.35,43.78,cleared,user01,ACC-005,ACC-004,transfer
R0048,ACC-002,,2025-11-24,,2025-11-24,36409.69,24.44,cleared,user03,ACC-002,ACC-003,supplier payment
R0049,ACC-001,5049,2025-11-24,,2025-11-24,138527.21,28.46,cleared,user03,ACC-001,ACC-005,transfer
R0050,ACC-001,5050,2025-10-24,,2025-10-24,62076.02,17.69,cleared,user03,ACC-002,ACC-003,transfer
R0051,ACC-001,5051,2025-11-05,2025-10-26,2025-11-05,8955.16,22.82,in_transit,user02,ACC-001,ACC-005,supplier payment
R0052,ACC-003,,2025-11-25,,2025-11-25,32610.34,40.21,cleared,user01,ACC-002,ACC-003,transfer
R0053,ACC-005,5053,2025-09-19,,2025-09-19,355.72,9.83,uncleared,user01,ACC-001,ACC-005,transfer
R0054,ACC-001,5054,2025-11-06,,2025-11-06,23414.19,13.31,cleared,user03,ACC-005,ACC-002,supplier payment
R0055,ACC-005,5055,2025-09-13,,2025-09-13,75997.81,21.51,cleared,user01,ACC-002,ACC-001,transfer
R0056,ACC-002,,2025-09-27,,2025-09-27,23544.46,7.38,cleared,user03,ACC-003,ACC-001,transfer
R0057,ACC-003,5057,2025-10-25,,2025-10-25,4057.33,1.92,cleared,user03,ACC-005,ACC-002,supplier payment
R0058,ACC-005,5058,2025-09-13,,2025-09-13,51964.52,18.64,cleared,user01,ACC-002,ACC-001,transfer
R0059,ACC-002,5059,2025-09-05,,2025-09-05,3659.98,23.21,cleared,user03,ACC-003,ACC-004,transfer
R0060,ACC-004,,2025-10-14,,2025-10-14,1128.35,26.6,cleared,user02,ACC-004,ACC-001,supplier payment
R0061,ACC-001,5061,2025-10-19,,2025-10-19,17580.55,1.8,cleared,user02,ACC-005,ACC-001,transfer
R0062,ACC-002,5062,2025-09-06,,2025-09-06,325.97,20.47,uncleared,user01,ACC-003,ACC-005,transfer
R0063,ACC-002,5063,2025-11-07,,2025-11-07,913.96,30.01,cleared,user02,ACC-005,ACC-004,supplier payment
R0064,ACC-005,,2025-10-14,,2025-10-14,35023.12,4.06,cleared,user02,ACC-003,ACC-004,transfer
R0065,ACC-003,5065,2025-11-01,,2025-11-01,1690.94,8.86,voided,user01,ACC-004,ACC-001,transfer
R0066,ACC-002,5066,2025-11-18,,2025-11-18,13739.27,30.12,uncleared,user03,ACC-003,ACC-005,supplier payment
R0067,ACC-002,5067,2025-11-07,,2025-11-07,26616.03,49.07,cleared,user01,ACC-002,ACC-003,transfer
R0068,ACC-003,,2025-11-02,,2025-11-02,35996.23,27.17,cleared,user03,ACC-004,ACC-003,transfer
R0069,ACC-003,5069,2025-10-25,,2025-10-25,94371.47,29.56,cleared,user03,ACC-004,ACC-004,supplier payment
R0070,ACC-004,5070,2025-09-15,,2025-09-15,168.86,14.2,cleared,user01,ACC-002,ACC-001,transfer
R0071,ACC-003,5071,2025-10-16,,2025-10-16,390.63,28.56,uncleared,user03,ACC-003,ACC-004,transfer
R0072,ACC-005,,2025-10-29,2025-10-19,2025-10-29,162458.82,37.31,in_transit,user02,ACC-002,ACC-005,supplier payment
R0073,ACC-004,5073,2025-11-04,,2025-11-04,134.66,27.05,cleared,user03,ACC-002,ACC-001,transfer
R0074,ACC-002,5074,2025-11-23,,2025-11-23,142.33,27.16,cleared,user01,ACC-003,ACC-005,transfer
R0075,ACC-001,5075,2025-11-24,,2025-11-24,31711.81,15.41,cleared,user02,ACC-003,ACC-002,supplier payment
R0076,ACC-004,,2025-11-15,,2025-11-15,128467.11,26.12,cleared,user01,ACC-003,ACC-004,transfer
R0077,ACC-002,5077,2025-11-18,,2025-11-18,295275.72,46.85,cleared,user01,ACC-002,ACC-001,transfer
R0078,ACC-003,5078,2025-10-23,,2025-10-23,264.55,41.59,cleared,user01,ACC-003,ACC-002,supplier payment
R0079,ACC-004,5079,2025-09-28,,2025-09-28,689.8,4.28,cleared,user01,ACC-003,ACC-002,transfer
R0080,ACC-001,,2025-10-23,,2025-10-23,471.67,36.01,voided,user01,ACC-001,ACC-003,transfer
R0081,ACC-003,5081,2025-09-24,,2025-09-24,1995.09,28.82,cleared,user03,ACC-001,ACC-005,supplier payment
R0082,ACC-001,5082,2025-09-11,,2025-09-11,126829.78,4.69,cleared,user01,ACC-001,ACC-003,transfer
R0083,ACC-004,5083,2025-09-14,,2025-09-14,196.58,26.42,cleared,user02,ACC-002,ACC-001,transfer
R0084,ACC-005,,2025-11-02,,2025-11-02,6011.24,33.31,cleared,user01,ACC-001,ACC-002,supplier payment
R0085,ACC-002,5085,2025-10-12,,2025-10-12,5887.2,15.65,cleared,user03,ACC-001,ACC-005,transfer
R0086,ACC-004,5086,2025-11-24,,2025-11-24,130.49,18.26,cleared,user01,ACC-005,ACC-002,transfer
R0087,ACC-003,5087,2025-10-07,,2025-10-07,89733.37,39.31,cleared,user01,ACC-003,ACC-004,supplier payment
R0088,ACC-003,,2025-10-24,,2025-10-24,695.85,19.84,uncleared,user03,ACC-001,ACC-002,transfer
R0089,ACC-005,5089,2025-10-19,,2025-10-19,26207.37,7.96,uncleared,user01,ACC-002,ACC-001,transfer
R0090,ACC-004,5090,2025-10-25,,2025-10-25,26893.15,13.33,cleared,user02,ACC-004,ACC-001,supplier payment
R0091,ACC-003,5091,2025-09-13,,2025-09-13,6874.16,40.34,uncleared,user01,ACC-002,ACC-001,transfer
R0092,ACC-003,,2025-11-08,,2025-11-08,35758.05,47.29,cleared,user01,ACC-005,ACC-002,transfer
R0093,ACC-003,5093,2025-09-06,,2025-09-06,348.08,36.96,uncleared,user02,ACC-005,ACC-002,supplier payment
R0094,ACC-005,5094,2025-09-21,,2025-09-21,54134.39,21.41,cleared,user03,ACC-001,ACC-003,transfer
R0095,ACC-002,5095,2025-10-04,,2025-10-04,154601.48,11.31,cleared,user03,ACC-001,ACC-005,transfer
R0096,ACC-003,,2025-10-28,,2025-10-28,46957.86,32.19,cleared,user03,ACC-001,ACC-005,supplier payment
R0097,ACC-003,5097,2025-10-24,,2025-10-24,1539.22,16.48,cleared,user01,ACC-003,ACC-002,transfer
R0098,ACC-002,5098,2025-09-03,,2025-09-03,1729.92,4.56,cleared,user03,ACC-003,ACC-002,transfer
R0099,ACC-002,5099,2025-09-05,,2025-09-05,234357.32,3.59,cleared,user01,ACC-003,ACC-001,supplier payment
R0100,ACC-005,,2025-09-26,,2025-09-26,2180.59,34.56,cleared,user01,ACC-002,ACC-004,transfer
R0101,ACC-003,5101,2025-10-17,,2025-10-17,1445.47,37.63,cleared,user01,ACC-004,ACC-002,transfer
R0102,ACC-005,5102,2025-10-11,,2025-10-11,30586.62,35.94,uncleared,user02,ACC-002,ACC-003,supplier payment
R0103,ACC-005,5103,2025-11-08,,2025-11-08,10044.08,35.72,cleared,user03,ACC-005,ACC-002,transfer
R0104,ACC-001,,2025-10-21,,2025-10-21,12165.51,23.7,cleared,user03,ACC-002,ACC-005,transfer
R0105,ACC-003,5105,2025-11-28,,2025-11-28,64776.76,43.0,cleared,user01,ACC-001,ACC-002,supplier payment
R0106,ACC-004,5106,2025-09-03,,2025-09-03,112091.63,15.61,cleared,user03,ACC-004,ACC-003,transfer
R0107,ACC-003,5107,2025-11-12,,2025-11-12,42745.94,38.05,cleared,user03,ACC-004,ACC-003,transfer
R0108,ACC-002,,2025-10-21,,2025-10-21,335.86,6.62,cleared,user03,ACC-003,ACC-005,supplier payment
R0109,ACC-004,5109,2025-10-23,,2025-10-23,312.84,31.27,cleared,user01,ACC-001,ACC-005,transfer
R0110,ACC-004,5110,2025-11-30,,2025-11-30,303722.68,13.66,cleared,user01,ACC-002,ACC-001,transfer
R0111,ACC-003,5111,2025-11-12,,2025-11-12,119.04,5.7,cleared,user03,ACC-005,ACC-003,supplier payment
R0112,ACC-004,,2025-09-30,,2025-09-30,4626.96,24.5,uncleared,user03,ACC-004,ACC-002,transfer
R0113,ACC-001,5113,2025-09-01,,2025-09-01,108978.31,4.0,cleared,user02,ACC-003,ACC-005,transfer
R0114,ACC-001,5114,2025-11-29,,2025-11-29,125215.04,13.32,cleared,user03,ACC-003,ACC-001,supplier payment
R0115,ACC-001,5115,2025-11-30,,2025-11-30,19741.93,46.46,uncleared,user03,ACC-005,ACC-003,transfer
R0116,ACC-003,,2025-09-27,,2025-09-27,183860.06,6.26,cleared,user01,ACC-004,ACC-003,transfer
R0117,ACC-004,5117,2025-11-28,,2025-11-28,2027.41,0.46,cleared,user03,ACC-002,ACC-004,supplier payment
R0118,ACC-005,5118,2025-11-05,,2025-11-05,602.17,32.71,cleared,user03,ACC-001,ACC-005,transfer
R0119,ACC-004,5119,2025-09-17,,2025-09-17,5683.82,41.48,cleared,user02,ACC-004,ACC-003,transfer
R0120,ACC-001,,2025-09-29,,2025-09-29,11138.41,18.89,cleared,user02,ACC-005,ACC-003,supplier payment
R0121,ACC-003,5121,2025-09-27,,2025-09-27,505.88,25.18,cleared,user02,ACC-004,ACC-001,transfer
R0122,ACC-004,5122,2025-11-02,,2025-11-02,284497.41,13.13,cleared,user02,ACC-001,ACC-002,transfer
R0123,ACC-003,5123,2025-11-20,,2025-11-20,10866.5,42.11,cleared,user01,ACC-005,ACC-002,supplier payment
R0124,ACC-001,,2025-09-06,,2025-09-06,481.01,0.46,uncleared,user03,ACC-004,ACC-005,transfer
R0125,ACC-003,5125,2025-10-26,,2025-10-26,2754.1,9.22,uncleared,user03,ACC-005,ACC-004,transfer
R0126,ACC-003,5126,2025-09-19,,2025-09-19,30796.73,14.85,cleared,user01,ACC-001,ACC-002,supplier payment
R0127,ACC-001,5127,2025-11-03,,2025-11-03,4387.99,14.32,cleared,user01,ACC-001,ACC-005,transfer
R0128,ACC-002,,2025-11-09,,2025-11-09,54588.83,33.9,cleared,user03,ACC-001,ACC-003,transfer
R0129,ACC-004,5129,2025-10-02,,2025-10-02,22197.08,23.03,uncleared,user01,ACC-004,ACC-003,supplier payment
R0130,ACC-005,5130,2025-09-30,,2025-09-30,192014.16,49.83,cleared,user02,ACC-002,ACC-004,transfer
R0131,ACC-002,5131,2025-10-01,,2025-10-01,95341.02,44.19,cleared,user03,ACC-004,ACC-001,transfer
R0132,ACC-004,,2025-10-15,,2025-10-15,32851.13,12.7,cleared,user01,ACC-002,ACC-003,supplier payment
R0133,ACC-005,5133,2025-09-20,,2025-09-20,2652.72,45.23,uncleared,user03,ACC-002,ACC-005,transfer
R0134,ACC-003,5134,2025-11-18,,2025-11-18,45999.65,11.64,cleared,user01,ACC-003,ACC-005,transfer
R0135,ACC-004,5135,2025-09-28,,2025-09-28,920.17,38.13,voided,user01,ACC-001,ACC-003,supplier payment
R0136,ACC-002,,2025-11-05,,2025-11-05,12474.69,0.96,cleared,user02,ACC-001,ACC-003,transfer
R0137,ACC-004,5137,2025-11-28,,2025-11-28,124096.51,29.25,uncleared,user02,ACC-003,ACC-005,transfer
R0138,ACC-004,5138,2025-11-02,,2025-11-02,97992.87,3.41,cleared,user01,ACC-005,ACC-003,supplier payment
R0139,ACC-003,5139,2025-10-04,,2025-10-04,125228.68,7.77,cleared,user03,ACC-003,ACC-001,transfer
R0140,ACC-005,,2025-11-01,,2025-11-01,3838.43,47.23,cleared,user03,ACC-003,ACC-004,transfer
R0141,ACC-002,5141,2025-11-22,,2025-11-22,8470.22,39.15,cleared,user02,ACC-004,ACC-002,supplier payment
R0142,ACC-004,5142,2025-09-20,,2025-09-20,386.73,36.17,cleared,user01,ACC-003,ACC-005,transfer
R0143,ACC-001,5143,2025-11-08,,2025-11-08,74031.8,6.59,uncleared,user03,ACC-005,ACC-002,transfer
R0144,ACC-004,,2025-09-13,2025-09-03,2025-09-13,143.73,23.09,in_transit,user01,ACC-002,ACC-003,supplier payment
R0145,ACC-002,5145,2025-11-07,,2025-11-07,2503.17,11.86,cleared,user01,ACC-005,ACC-001,transfer
R0146,ACC-005,5146,2025-10-13,,2025-10-13,241.44,37.03,cleared,user02,ACC-001,ACC-003,transfer
R0147,ACC-001,5147,2025-11-13,,2025-11-13,857.58,48.43,voided,user03,ACC-004,ACC-005,supplier payment
R0148,ACC-005,,2025-09-09,,2025-09-09,102952.05,8.18,cleared,user02,ACC-003,ACC-002,transfer
R0149,ACC-003,5149,2025-11-09,,2025-11-09,176595.24,0.44,cleared,user03,ACC-003,ACC-001,transfer
R0150,ACC-004,5150,2025-10-08,,2025-10-08,13873.43,12.13,cleared,user02,ACC-004,ACC-001,supplier payment
R0151,ACC-005,5151,2025-09-15,,2025-09-15,1544.81,33.23,cleared,user02,ACC-004,ACC-003,transfer
R0152,ACC-005,,2025-10-11,,2025-10-11,101641.01,10.57,cleared,user01,ACC-002,ACC-003,transfer
R0153,ACC-002,5153,2025-10-15,,2025-10-15,198.91,22.43,cleared,user03,ACC-002,ACC-001,supplier payment
R0154,ACC-001,5154,2025-09-30,,2025-09-30,7422.67,5.47,cleared,user03,ACC-004,ACC-003,transfer
R0155,ACC-002,5155,2025-09-06,,2025-09-06,328.76,0.06,uncleared,user02,ACC-001,ACC-004,transfer
R0156,ACC-001,,2025-10-20,,2025-10-20,17821.17,46.13,cleared,user01,ACC-002,ACC-005,supplier payment
R0157,ACC-004,5157,2025-11-24,,2025-11-24,415.32,12.15,cleared,user01,ACC-005,ACC-002,transfer
R0158,ACC-004,5158,2025-09-10,,2025-09-10,17512.41,12.33,cleared,user02,ACC-004,ACC-005,transfer
R0159,ACC-001,5159,2025-10-09,,2025-10-09,992.07,35.6,cleared,user01,ACC-001,ACC-002,supplier payment
R0160,ACC-003,,2025-11-15,,2025-11-15,12458.54,43.92,cleared,user02,ACC-005,ACC-004,transfer
R0161,ACC-005,5161,2025-11-18,,2025-11-18,20293.36,4.22,cleared,user03,ACC-002,ACC-005,transfer
R0162,ACC-005,5162,2025-09-04,,2025-09-04,277.82,38.29,cleared,user01,ACC-005,ACC-004,supplier payment
R0163,ACC-001,5163,2025-09-20,,2025-09-20,19561.33,38.8,cleared,user01,ACC-001,ACC-005,transfer
R0164,ACC-001,,2025-09-02,,2025-09-02,130.77,47.53,cleared,user01,ACC-005,ACC-001,transfer
R0165,ACC-005,5165,2025-10-13,,2025-10-13,39584.19,32.29,cleared,user03,ACC-004,ACC-002,supplier payment
R0166,ACC-005,5166,2025-10-09,,2025-10-09,776.42,13.75,cleared,user03,ACC-002,ACC-004,transfer
R0167,ACC-004,5167,2025-10-31,,2025-10-31,3137.6,25.71,cleared,user02,ACC-002,ACC-005,transfer
R0168,ACC-005,,2025-10-07,,2025-10-07,330.3,7.43,uncleared,user03,ACC-005,ACC-003,supplier payment
R0169,ACC-004,5169,2025-11-14,,2025-11-14,1064.83,21.59,cleared,user02,ACC-004,ACC-003,transfer
R0170,ACC-001,5170,2025-10-01,,2025-10-01,208065.77,34.93,cleared,user01,ACC-001,ACC-002,transfer
R0171,ACC-002,5171,2025-09-06,,2025-09-06,13514.83,23.21,cleared,user03,ACC-005,ACC-003,supplier payment
R0172,ACC-005,,2025-09-16,,2025-09-16,27496.31,27.18,cleared,user03,ACC-001,ACC-002,transfer
R0173,ACC-001,5173,2025-09-26,,2025-09-26,184.44,40.79,cleared,user02,ACC-002,ACC-001,transfer
R0174,ACC-001,5174,2025-10-28,,2025-10-28,113.53,26.44,cleared,user01,ACC-004,ACC-003,supplier payment
R0175,ACC-001,5175,2025-10-22,,2025-10-22,9847.01,38.72,cleared,user01,ACC-005,ACC-001,transfer
R0176,ACC-003,,2025-11-15,,2025-11-15,5855.99,41.57,cleared,user03,ACC-004,ACC-003,transfer
R0177,ACC-003,5177,2025-11-11,,2025-11-11,14314.76,8.37,cleared,user03,ACC-003,ACC-001,supplier payment
R0178,ACC-002,5178,2025-11-02,,2025-11-02,34793.19,6.29,cleared,user01,ACC-005,ACC-001,transfer
R0179,ACC-005,5179,2025-09-11,,2025-09-11,581.58,24.53,cleared,user02,ACC-002,ACC-004,transfer
R0180,ACC-005,,2025-10-30,,2025-10-30,39766.47,24.85,cleared,user01,ACC-002,ACC-004,supplier payment
R0181,ACC-003,5181,2025-10-15,,2025-10-15,1072.71,16.9,cleared,user02,ACC-002,ACC-003,transfer
R0182,ACC-004,5182,2025-09-03,2025-08-24,2025-09-03,15800.6,46.24,in_transit,user03,ACC-003,ACC-005,transfer
R0183,ACC-004,5183,2025-11-04,,2025-11-04,48243.0,22.32,cleared,user03,ACC-003,ACC-005,supplier payment
R0184,ACC-004,,2025-10-24,,2025-10-24,11877.81,25.49,cleared,user02,ACC-004,ACC-003,transfer
R0185,ACC-002,5185,2025-10-29,,2025-10-29,1330.81,31.75,cleared,user01,ACC-001,ACC-005,transfer
R0186,ACC-005,5186,2025-09-06,,2025-09-06,30035.51,47.87,uncleared,user01,ACC-001,ACC-005,supplier payment
R0187,ACC-005,5187,2025-09-11,,2025-09-11,11893.11,47.67,cleared,user01,ACC-003,ACC-004,transfer
R0188,ACC-004,,2025-11-07,,2025-11-07,14832.45,40.17,cleared,user01,ACC-001,ACC-002,transfer
R0189,ACC-004,5189,2025-09-03,,2025-09-03,2279.1,4.0,uncleared,user03,ACC-005,ACC-003,supplier payment
R0190,ACC-004,5190,2025-11-01,,2025-11-01,289633.34,23.96,cleared,user01,ACC-002,ACC-004,transfer
R0191,ACC-001,5191,2025-09-20,,2025-09-20,10041.96,16.53,cleared,user02,ACC-005,ACC-003,transfer
R0192,ACC-004,,2025-10-29,,2025-10-29,775.33,17.27,cleared,user03,ACC-002,ACC-001,supplier payment
R0193,ACC-004,5193,2025-10-08,,2025-10-08,93029.85,39.79,cleared,user01,ACC-004,ACC-005,transfer
R0194,ACC-001,5194,2025-09-25,,2025-09-25,70670.97,38.18,uncleared,user01,ACC-003,ACC-004,transfer
R0195,ACC-001,5195,2025-10-26,,2025-10-26,5548.14,46.03,cleared,user03,ACC-003,ACC-001,supplier payment
R0196,ACC-005,,2025-11-25,,2025-11-25,434.44,25.23,cleared,user02,ACC-001,ACC-002,transfer
R0197,ACC-005,5197,2025-10-10,,2025-10-10,13147.07,46.07,cleared,user01,ACC-001,ACC-002,transfer
R0198,ACC-002,5198,2025-10-08,,2025-10-08,154547.12,18.6,cleared,user02,ACC-002,ACC-004,supplier payment
R0199,ACC-005,5199,2025-10-05,,2025-10-05,2529.13,47.89,cleared,user02,ACC-003,ACC-005,transfer
