record_id,sale_id,customer_id,customer_name,sale_amount,sale_date,entry_date,shipment_id,discount_pct,period_close_date,product
R0082,SL-7082,C007,Customer 006,4135.12,2025-11-05,2025-11-05,SHIP-8082,5.4,2025-10-31,Product E
R0083,SL-7083,C018,Customer 021,289.91,2025-10-20,2025-10-20,SHIP-8083,4.7,2025-10-31,Product C
R0084,SL-7084,C016,Customer 014,548.1,2025-11-13,2025-11-13,SHIP-8084,4.0,2025-10-31,Product C
R0085,SL-7085,C029,Customer 021,260667.64,2025-09-22,2025-09-22,SHIP-8085,6.7,2025-10-31,Product C
R0086,SL-7086,C009,Customer 023,522.56,2025-10-18,2025-10-18,SHIP-8086,1.6,2025-10-31,Product B
R0087,SL-7087,C010,Customer 021,1910.54,2025-10-21,2025-10-21,,3.1,2025-10-31,Product A
R0088,SL-7088,C015,Customer 011,3597.33,2025-10-25,2025-10-25,SHIP-8088,7.6,2025-10-31,Product E
R0089,SL-7089,C007,Customer 010,146.35,2025-10-11,2025-10-11,SHIP-8089,11.5,2025-10-31,Product E
R0090,SL-7090,C025,Customer 012,189.2,2025-10-07,2025-10-07,SHIP-8090,1.8,2025-10-31,Product A
R0091,SL-7091,C006,Customer 024,216.42,2025-11-06,2025-11-06,SHIP-8091,2.3,2025-10-31,Product D
R0092,SL-7092,C012,Customer 009,92402.17,2025-10-29,2025-10-29,SHIP-8092,9.4,2025-10-31,Product E
R0093,SL-7093,C020,Customer 025,52971.29,2025-09-18,2025-09-23,SHIP-8093,8.5,2025-10-31,Product E
R0094,SL-7094,C019,Customer 026,104.95,2025-11-02,2025-11-02,SHIP-8094,1.1,2025-10-31,Product D
R0095,SL-7095,C003,Customer 027,1760.61,2025-10-04,2025-10-04,SHIP-8095,47.0,2025-10-31,Product C
R0096,SL-7096,C012,Customer 017,126328.23,2025-11-10,2025-11-10,SHIP-8096,6.0,2025-10-31,Product A
R0097,SL-7097,C022,Customer 023,10679.25,2025-09-26,2025-09-26,SHIP-8097,4.5,2025-10-31,Product B
R0098,SL-7098,C030,Customer 017,4387.67,2025-10-31,2025-10-31,SHIP-8098,4.5,2025-10-31,Product E
R0099,SL-7099,C013,Customer 026,26039.27,2025-10-13,2025-10-13,SHIP-8099,5.1,2025-10-31,Product E
R0100,SL-7100,C004,Customer 001,3316.75,2025-10-17,2025-10-17,SHIP-8100,10.6,2025-10-31,Product C
R0101,SL-7101,C026,Customer 030,264339.74,2025-10-14,2025-10-14,SHIP-8101,7.9,2025-10-31,Product A
R0102,SL-7102,C024,Customer 012,131.6,2025-09-29,2025-09-29,SHIP-8102,9.2,2025-10-31,Product C
R0103,SL-7103,C029,Customer 003,109289.62,2025-09-08,2025-09-08,SHIP-8103,10.5,2025-10-31,Product B
R0104,SL-7104,C012,Customer 014,170.7,2025-09-28,2025-09-28,SHIP-8104,11.9,2025-10-31,Product E
R0105,SL-7105,C007,Customer 012,251.95,2025-10-26,2025-10-26,SHIP-8105,5.1,2025-10-31,Product C
R0106,SL-7106,C014,Customer 017,159535.67,2025-10-05,2025-10-05,SHIP-8106,10.0,2025-10-31,Product A
R0107,SL-7107,C004,Customer 010,3520.7,2025-09-22,2025-09-22,SHIP-8107,12.0,2025-10-31,Product B
R0108,SL-7108,C028,Customer 004,7980.74,2025-09-20,2025-09-20,SHIP-8108,2.9,2025-10-31,Product E
R0109,SL-7109,C014,Customer 003,14635.51,2025-11-22,2025-11-22,SHIP-8109,3.9,2025-10-31,Product B
R0110,SL-7110,C019,Customer 022,530.77,2025-09-24,2025-09-24,SHIP-8110,5.0,2025-10-31,Product D
R0111,SL-7111,C024,Customer 015,283.51,2025-11-02,2025-11-02,SHIP-8111,0.9,2025-10-31,Product B
R0112,SL-7112,C008,Customer 012,230412.1,2025-09-04,2025-09-04,SHIP-8112,8.4,2025-10-31,Product B
R0113,SL-7113,C014,Customer 021,107326.43,2025-11-27,2025-11-27,SHIP-8113,5.1,2025-10-31,Product E
R0114,SL-7114,C006,Customer 007,151438.79,2025-10-03,2025-10-03,SHIP-8114,43.3,2025-10-31,Product E
R0115,SL-7115,C014,Customer 021,866.93,2025-10-29,2025-10-29,SHIP-8115,5.9,2025-10-31,Product C
R0116,SL-7116,C013,Customer 019,11502.65,2025-11-30,2025-11-30,,2.0,2025-10-31,Product A
R0117,SL-7117,C014,Customer 002,236.28,2025-10-17,2025-10-17,SHIP-8117,4.0,2025-10-31,Product B
R0118,SL-7118,C026,Customer 019,89619.89,2025-09-25,2025-09-25,SHIP-8118,1.7,2025-10-31,Product A
R0119,SL-7119,C011,Customer 004,28052.0,2025-11-10,2025-11-10,SHIP-8119,2.1,2025-10-31,Product E
R0120,SL-7120,C012,Customer 019,101814.75,2025-11-26,2025-11-26,SHIP-8120,8.4,2025-10-31,Product A
R0121,SL-7121,C019,Customer 018,147.54,2025-09-28,2025-09-28,SHIP-8121,8.3,2025-10-31,Product E
R0122,SL-7122,C004,Customer 015,31678.38,2025-10-02,2025-10-02,SHIP-8122,8.7,2025-10-31,Product B
R0123,SL-7123,C018,Customer 030,282161.0,2025-10-30,2025-10-30,SHIP-8123,5.9,2025-10-31,Product D
R0124,SL-7124,C004,Customer 030,137.17,2025-10-14,2025-10-19,SHIP-8124,7.5,2025-10-31,Product B
R0125,SL-7125,C006,Customer 014,40046.88,2025-10-22,2025-10-22,SHIP-8125,8.4,2025-10-31,Product D
R0126,SL-7126,C028,Customer 010,22012.39,2025-10-04,2025-10-04,SHIP-8126,5.7,2025-10-31,Product A
R0127,SL-7127,C011,Customer 016,1214.18,2025-10-11,2025-10-11,SHIP-8127,4.9,2025-10-31,Product B
R0128,SL-7128,C011,Customer 008,60030.25,2025-11-24,2025-11-24,SHIP-8128,11.1,2025-10-31,Product D
R0129,SL-7129,C001,Customer 017,150.22,2025-11-01,2025-11-01,SHIP-8129,0.1,2025-10-31,Product A
R0130,SL-7130,C014,Customer 011,1503.08,2025-10-24,2025-10-24,SHIP-8130,1.3,2025-10-31,Product A
R0131,SL-7131,C014,Customer 029,20710.93,2025-10-08,2025-10-08,SHIP-8131,1.1,2025-10-31,Product A
R0132,SL-7132,C013,Customer 020,44591.58,2025-10-09,2025-10-09,SHIP-8132,1.5,2025-10-31,Product C
R0133,SL-7133,C025,Customer 013,5281.9,2025-11-01,2025-11-01,SHIP-8133,42.2,2025-10-31,Product A
R0134,SL-7134,C025,Customer 002,1220.32,2025-11-21,2025-11-21,SHIP-8134,0.2,2025-10-31,Product B
R0135,SL-7135,C016,Customer 017,214381.02,2025-10-26,2025-10-26,SHIP-8135,11.3,2025-10-31,Product B
R0136,SL-7136,C028,Customer 002,6475.61,2025-09-22,2025-09-22,SHIP-8136,7.6,2025-10-31,Product E
R0137,SL-7137,C006,Customer 010,207.75,2025-10-02,2025-10-02,SHIP-8137,6.8,2025-10-31,Product C
R0138,SL-7138,C010,Customer 012,68604.43,2025-10-29,2025-10-29,SHIP-8138,8.1,2025-10-31,Product C
R0139,SL-7139,C026,Customer 021,5996.84,2025-10-27,2025-10-27,SHIP-8139,1.3,2025-10-31,Product B
R0140,SL-7140,C011,Customer 006,100086.02,2025-09-15,2025-09-15,SHIP-8140,1.7,2025-10-31,Product C
R0141,SL-7141,C019,Customer 010,11720.05,2025-09-10,2025-09-10,SHIP-8141,7.3,2025-10-31,Product C
R0142,SL-7142,C027,Customer 018,1319.16,2025-10-05,2025-10-05,SHIP-8142,3.0,2025-10-31,Product D
R0143,SL-7143,C022,Customer 027,3239.2,2025-10-29,2025-10-29,SHIP-8143,9.8,2025-10-31,Product C
R0144,SL-7144,C007,Customer 010,1022.76,2025-10-03,2025-10-03,SHIP-8144,3.8,2025-10-31,Product A
R0145,SL-7145,C017,Customer 028,250856.37,2025-11-29,2025-11-29,,2.5,2025-10-31,Product D
R0146,SL-7146,C030,Customer 009,2192.59,2025-10-06,2025-10-06,SHIP-8146,10.5,2025-10-31,Product C
R0147,SL-7147,C006,Customer 028,114.63,2025-09-14,2025-09-14,SHIP-8147,2.0,2025-10-31,Product D
R0148,SL-7148,C016,Customer 005,111.54,2025-09-27,2025-09-27,SHIP-8148,1.2,2025-10-31,Product E
R0149,SL-7149,C006,Customer 012,22861.45,2025-09-30,2025-09-30,SHIP-8149,2.0,2025-10-31,Product D
R0150,SL-7150,C007,Customer 013,168.02,2025-10-26,2025-10-26,SHIP-8150,10.4,2025-10-31,Product C
R0151,SL-7151,C028,Customer 007,826.61,2025-09-18,2025-09-18,SHIP-8151,10.5,2025-10-31,Product B
R0152,SL-7152,C011,Customer 004,45623.81,2025-09-19,2025-09-19,SHIP-8152,39.3,2025-10-31,Product A
R0153,SL-7153,C020,Customer 003,497.5,2025-11-08,2025-11-08,SHIP-8153,7.2,2025-10-31,Product B
R0154,SL-7154,C008,Customer 006,11426.58,2025-11-11,2025-11-11,SHIP-8154,9.9,2025-10-31,Product A
R0155,SL-7155,C022,Customer 002,2231.92,2025-11-07,2025-11-12,SHIP-8155,10.4,2025-10-31,Product B
R0156,SL-7156,C030,Customer 027,37950.67,2025-11-24,2025-11-24,SHIP-8156,0.1,2025-10-31,Product B
R0157,SL-7157,C005,Customer 026,132507.83,2025-10-15,2025-10-15,SHIP-8157,9.4,2025-10-31,Product C
R0158,SL-7158,C004,Customer 003,11236.18,2025-09-14,2025-09-14,SHIP-8158,4.3,2025-10-31,Product B
R0159,SL-7159,C022,Customer 024,7564.23,2025-11-05,2025-11-05,SHIP-8159,9.1,2025-10-31,Product A
R0160,SL-7160,C014,Customer 029,2593.29,2025-11-14,2025-11-14,SHIP-8160,10.8,2025-10-31,Product B
R0161,SL-7161,C024,Customer 026,78278.88,2025-10-29,2025-10-29,SHIP-8161,2.5,2025-10-31,Product D
R0162,SL-7162,C002,Customer 021,5230.56,2025-09-14,2025-09-14,SHIP-8162,9.8,2025-10-31,Product B
R0163,SL-7163,C026,Customer 004,31792.32,2025-10-24,2025-10-24,SHIP-8163,3.3,2025-10-31,Product C
R0164,SL-7164,C002,Customer 006,7630.57,2025-09-26,2025-09-26,SHIP-8164,8.6,2025-10-31,Product C
R0165,SL-7165,C022,Customer 006,1061.03,2025-11-15,2025-11-15,SHIP-8165,8.9,2025-10-31,Product D
R0166,SL-7166,C027,Customer 006,11467.54,2025-10-31,2025-10-31,SHIP-8166,10.8,2025-10-31,Product E
R0167,SL-7167,C027,Customer 011,2022.02,2025-09-09,2025-09-09,SHIP-8167,5.7,2025-10-31,Product C
R0168,SL-7168,C007,Customer 026,374.76,2025-10-05,2025-10-05,SHIP-8168,7.0,2025-10-31,Product C
R0169,SL-7169,C020,Customer 021,4819.32,2025-09-16,2025-09-16,SHIP-8169,2.6,2025-10-31,Product B
R0170,SL-7170,C025,Customer 011,120159.09,2025-09-04,2025-09-04,SHIP-8170,1.2,2025-10-31,Product D
R0171,SL-7171,C024,Customer 006,173.54,2025-09-28,2025-09-28,SHIP-8171,46.2,2025-10-31,Product B
R0172,SL-7172,C017,Customer 027,713.91,2025-11-04,2025-11-04,SHIP-8172,11.4,2025-10-31,Product D
R0173,SL-7173,C028,Customer 012,126.02,2025-11-02,2025-11-02,SHIP-8173,4.0,2025-10-31,Product B
R0174,SL-7174,C006,Customer 015,7176.51,2025-10-26,2025-10-26,,0.6,2025-10-31,Product E
R0175,SL-7175,C010,Customer 025,2620.33,2025-10-19,2025-10-19,SHIP-8175,4.7,2025-10-31,Product C
R0176,SL-7176,C016,Customer 009,15375.33,2025-10-07,2025-10-07,SHIP-8176,6.5,2025-10-31,Product B
R0177,SL-7177,C010,Customer 010,12328.65,2025-09-30,2025-09-30,SHIP-8177,7.7,2025-10-31,Product B
R0178,SL-7178,C021,Customer 030,247.75,2025-09-29,2025-09-29,SHIP-8178,7.9,2025-10-31,Product E
R0179,SL-7179,C028,Customer 008,8854.22,2025-09-01,2025-09-01,SHIP-8179,3.2,2025-10-31,Product D
R0180,SL-7180,C015,Customer 017,114326.82,2025-09-01,2025-09-01,SHIP-8180,3.1,2025-10-31,Product C
R0181,SL-7181,C014,Customer 005,8437.38,2025-10-04,2025-10-04,SHIP-8181,3.6,2025-10-31,Product E
R0182,SL-7182,C014,Customer 015,3053.05,2025-11-27,2025-11-27,SHIP-8182,4.5,2025-10-31,Product A
R0183,SL-7183,C009,Customer 015,27101.23,2025-10-06,2025-10-06,SHIP-8183,5.1,2025-10-31,Product C
R0184,SL-7184,C002,Customer 027,6577.67,2025-10-29,2025-10-29,SHIP-8184,7.3,2025-10-31,Product C
R0185,SL-7185,C005,Customer 021,530.73,2025-10-05,2025-10-05,SHIP-8185,2.2,2025-10-31,Product B
R0186,SL-7186,C029,Customer 022,124.5,2025-10-25,2025-10-30,SHIP-8186,6.1,2025-10-31,Product E
R0187,SL-7187,C023,Customer 002,42202.3,2025-09-03,2025-09-03,SHIP-8187,6.8,2025-10-31,Product B
R0188,SL-7188,C004,Customer 021,421.03,2025-10-06,2025-10-06,SHIP-8188,1.5,2025-10-31,Product E
R0189,SL-7189,C018,Customer 018,34427.07,2025-11-24,2025-11-24,SHIP-8189,2.5,2025-10-31,Product C
R0190,SL-7190,C021,Customer 023,2082.31,2025-09-20,2025-09-20,SHIP-8190,46.4,2025-10-31,Product D
R0191,SL-7191,C004,Customer 003,216.15,2025-09-12,2025-09-12,SHIP-8191,5.9,2025-10-31,Product A
R0192,SL-7192,C011,Customer 012,2878.03,2025-11-11,2025-11-11,SHIP-8192,11.1,2025-10-31,Product E
R0193,SL-7193,C029,Customer 003,113059.42,2025-11-05,2025-11-05,SHIP-8193,10.9,2025-10-31,Product A
R0194,SL-7194,C015,Customer 017,252041.59,2025-10-23,2025-10-23,SHIP-8194,12.0,2025-10-31,Product E
R0195,SL-7195,C022,Customer 029,728.26,2025-10-16,2025-10-16,SHIP-8195,8.9,2025-10-31,Product A
R0196,SL-7196,C020,Customer 025,178.0,2025-10-23,2025-10-23,SHIP-8196,2.4,2025-10-31,Product C
R0197,SL-7197,C013,Customer 002,20264.87,2025-10-04,2025-10-04,SHIP-8197,10.5,2025-10-31,Product C
R0198,SL-7198,C018,Customer 009,300892.88,2025-11-10,2025-11-10,SHIP-8198,0.2,2025-10-31,Product B
R0199,SL-7199,C025,Customer 010,1269.67,2025-10-04,2025-10-04,SHIP-8199,5.1,2025-10-31,Product B
